H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000005073	1.18	0.28	1.78	2.02	1.96	0.93	0.39	0.68	2.83	2.66	0.93	0.79
ENSG00000005075	0.03	0.03	0.02	0.04	0.03	0.05	0.04	0.04	0.03	0.03	0.05	0.04
ENSG00000005100	0.04	0.1	0.09	0.07	0.1	0.03	0.06	0.08	0.1	0.08	0.11	0.08
ENSG00000005102	0.15	0.1	0.08	0.07	0.06	0.07	0.07	0.1	0.08	0.06	0.07	0.09
ENSG00000005108	0.11	0.06	0.05	0.08	0.05	0.06	0.04	0.09	0.05	0.06	0.07	0.1
ENSG00000005156	0.04	0.06	0.05	0.06	0.06	0.04	0.04	0.05	0.04	0.04	0.04	0.05
ENSG00000005175	0.06	0.09	0.04	0.05	0.06	0.05	0.04	0.05	0.05	0.05	0.04	0.09
ENSG00000005187	0.52	0.37	0.36	0.44	0.28	0.49	0.35	0.42	0.44	0.26	0.39	0.41
ENSG00000005189	15.17	11.31	16.76	12.48	10.06	12.26	10.33	9.7	10.55	6.95	3.76	4.35
ENSG00000005194	0.07	0.06	0.05	0.04	0.1	0.05	0.06	0.04	0.04	0.06	0.08	0.09
ENSG00000005206	0.09	0.06	0.05	0.04	0.06	0.05	0.03	0.04	0.05	0.05	0.06	0.07
ENSG00000005238	0.04	0.06	0.04	0.04	0.05	0.03	0.04	0.03	0.05	0.06	0.03	0.04
ENSG00000005243	0.32	0.17	0.34	0.24	0.32	0.22	0.27	0.25	0.14	0.25	0.17	0.11
ENSG00000005249	0.09	0.08	0.09	0.06	0.04	0.06	0.11	0.08	0.1	0.07	0.1	0.04
ENSG00000005302	1.07	0.7	0.66	1.89	3.48	0.9	1.09	2.73	3.49	5.54	5.65	3.9
ENSG00000005339	0.11	0.11	0.15	0.17	0.13	0.16	0.1	0.16	0.17	0.18	0.09	0.09
ENSG00000005379	0.2	0.17	2.22	0.28	0.23	2.72	4.04	2.67	1.68	2.99	2.34	0.07
ENSG00000005381	0.38	0.29	0.32	0.33	0.35	0.27	0.37	3.49	2.93	4.42	4.38	3.83
ENSG00000005421	0.4	0.46	0.52	0.3	0.43	0.4	0.33	0.42	0.45	0.5	0.36	0.68
ENSG00000005436	3.29	3.72	4	3.71	3.47	3.59	3.57	4.02	3.37	2.68	3.97	1.8
ENSG00000005448	0.07	0.05	0.06	0.03	0.07	0.05	0.06	0.07	0.05	0.05	0.05	0.03
ENSG00000005469	0.61	0.61	0.33	1.32	0.37	0.28	0.4	0.37	0.35	0.38	0.27	0.24
ENSG00000005471	0.28	0.15	0.13	0.15	0.23	0.18	0.17	0.16	0.16	0.22	0.16	0.13
ENSG00000005483	8.59	15.51	17.13	15.94	13.98	18.19	14.78	19.36	18.54	21.09	18.9	15.6
ENSG00000005486	0.18	0.18	0.37	0.29	0.68	0.35	0.33	0.27	0.2	0.15	0.08	0.07
ENSG00000005513	0.1	0.07	0.12	0.12	0.08	0.11	0.11	0.1	0.16	0.09	0.16	0.1
ENSG00000005700	0.07	0.06	0.06	0.06	0.07	0.08	0.08	0.09	0.05	0.04	0.04	0.05
ENSG00000005801	19.34	25.72	32.71	16.93	34.02	31.13	24.89	19.88	17.45	17.05	11.41	6.44
ENSG00000005810	0.05	0.07	0.05	0.08	0.05	0.03	0.06	0.05	0.04	0.05	0.04	0.1
ENSG00000005812	0.06	0.1	0.05	0.06	0.07	0.05	0.08	0.1	0.06	0.08	0.18	0.06
ENSG00000005844	0.07	0.07	0.11	0.16	0.12	0.09	0.06	0.14	0.16	0.11	0.05	0.06
ENSG00000005882	0.06	0.04	0.03	0.05	0.06	0.07	0.04	0.04	0.04	0.07	0.05	0.05
ENSG00000005884	0.16	0.07	0.08	0.08	0.07	0.07	0.06	0.05	0.08	0.1	0.11	0.04
ENSG00000005889	0.07	0.06	0.04	0.05	0.04	0.06	0.05	0.04	0.05	0.09	0.07	0.07
ENSG00000005893	0.59	0.48	0.3	0.5	0.41	0.53	0.64	1.82	0.47	1.51	1.36	0.59
ENSG00000005961	0.18	0.19	0.29	0.25	0.27	0.25	0.16	0.19	0.28	0.23	0.23	0.12
ENSG00000005981	0.05	0.12	0.05	0.05	0.05	0.11	0.06	0.06	0.05	0.05	0.07	0.07
ENSG00000006007	0.08	0.05	0.04	0.05	0.03	0.03	0.03	0.08	0.05	0.07	0.05	0.07
ENSG00000006015	3.43	0.32	3.25	2.77	2.86	0.48	0.29	3.87	2.09	0.44	0.05	0.11
ENSG00000006016	0.09	0.05	0.09	0.09	0.09	0.09	0.05	0.09	0.08	0.13	0.11	0.09
ENSG00000006025	0.06	0.05	0.06	0.03	0.06	0.04	0.07	0.04	0.03	0.07	0.05	0.04
ENSG00000006042	0.12	0.1	0.11	0.23	0.06	0.17	0.18	0.15	0.2	0.12	0.14	0.12
ENSG00000006047	0.26	0.11	0.2	0.1	0.14	0.1	0.14	0.16	0.13	0.22	0.09	0.12
ENSG00000006059	0.16	0.23	0.22	0.19	0.3	0.24	0.24	0.22	0.29	0.32	0.25	0.38
ENSG00000006062	0.06	0.04	0.04	0.04	0.07	0.03	0.07	0.04	0.04	0.05	0.04	0.04
ENSG00000006071	0.49	0.27	0.33	0.49	0.3	0.32	0.25	0.43	0.36	0.38	0.25	0.33
ENSG00000006116	0.15	0.14	0.1	0.07	0.12	0.17	0.17	0.14	0.09	0.14	0.19	0.26
ENSG00000006118	0.11	0.08	0.12	0.09	0.11	0.16	0.07	0.07	0.08	0.09	0.08	0.14
ENSG00000006125	0.03	0.04	0.04	0.05	0.04	0.02	0.05	0.03	0.06	0.07	0.06	0.05
ENSG00000006128	6.59	7.76	7.65	7.01	6.45	5.68	7.88	8.11	8.36	5.96	6.78	9.95
ENSG00000006194	9.43	10.08	10.49	8.72	14.44	10.36	11	11.23	13.24	11.6	9.21	8.14
ENSG00000006210	0.08	0.06	0.07	0.06	0.05	0.1	0.08	0.06	0.06	0.06	0.07	0.04
ENSG00000006282	0.12	0.05	0.08	0.04	0.04	0.05	0.06	0.06	0.05	0.06	0.05	0.07
