class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000005381	peaking	H024	NA	NA	peaking	yes	0.101070336391437	significant	11.9335	0.210617893821	0.253512758283719	0.189958298735613	0.554297819090624	0.670204810659853	-0.0613541562012994	0.849766522483975	0.898573856224819	not_correlated
ENSG00000005436	variable	variable	cluster_1	downregulation	downregulation	yes	0.362485653385801	significant	3.5201	9.999900001e-06	1.44868493511597e-05	0.862752521473974	0.000303215747009846	0.00241728657158943	0.464068839552325	0.128573619162443	0.223122953079279	positively_correlated
ENSG00000005469	variable	variable	cluster_3	bending	bending	yes	0.441468413080282	ns	16.1524	0.278367216328	0.322849613152648	-0.203121760211514	0.526627332512468	0.646593877334659	0.552274134281976	0.0626109959031523	0.128421211726001	stable
ENSG00000005471	variable	variable	cluster_1	downregulation	downregulation	yes	0.369177225380547	significant	3.9947	9.999900001e-06	1.44868493511597e-05	0.770833420314652	0.00333817228861812	0.0144949332727219	0.381037460062012	0.221691461711886	0.338846872631937	positively_correlated
ENSG00000005486	variable	variable	cluster_3	bending	bending	yes	0.933740300051733	significant	2.3184	9.999900001e-06	1.44868493511597e-05	0.705688947163846	0.0103393897080078	0.0344503138588378	0.666476443711385	0.0179447576326458	0.0501317868767201	positively_correlated
ENSG00000005700	variable	variable	cluster_2	upregulation	upregulation	yes	0.326856541142255	significant	17.7259	1	1	-0.762094182349334	0.00396135025150358	0.0166140075124529	0.913865977615992	3.22653002605913e-05	0.000467964610348868	negatively_correlated
ENSG00000005801	downregulation	NA	NA	NA	downregulation	yes	4.4850579095372	significant	5.5083	9.999900001e-06	1.44868493511597e-05	0.654196990499055	0.0210024904696192	0.0590810149303213	0.724671364169692	0.00767538115402672	0.0261482766447511	positively_correlated
ENSG00000005810	variable	variable	cluster_1	downregulation	downregulation	yes	0.222060085233266	ns	4.9212	9.999900001e-06	1.44868493511597e-05	0.586437805100815	0.0450522409693568	0.105095687194369	0.533069482547873	0.0743228840622385	0.146072770159909	stable
ENSG00000005812	variable	variable	cluster_3	bending	bending	yes	1.30649215804142	significant	1.6122	9.999900001e-06	1.44868493511597e-05	0.705074938164728	0.0104356838669002	0.0346990815143199	0.696396470746993	0.0118692347866694	0.0365362812100885	positively_correlated
ENSG00000005844	upregulation	NA	NA	NA	upregulation	yes	0.381358513554676	significant	4.1946	9.999900001e-06	1.44868493511597e-05	0.808165618548424	0.00146802184977003	0.00776106475620016	0.937964866036697	6.51626501966335e-06	0.000143466134006328	positively_correlated
ENSG00000005882	variable	variable	cluster_2	upregulation	upregulation	yes	1.39251133086115	ns	8.9822	9.999900001e-06	1.44868493511597e-05	0.294402884622089	0.352953726740799	0.487514758056022	0.106508821782137	0.741812757180366	0.81990373996239	stable
ENSG00000005893	upregulation	NA	NA	NA	upregulation	yes	0.580996348101702	ns	13.3966	0.562094379056	0.607301215146049	-0.50078016899193	0.0972483941674319	0.189074453629771	0.647688809547033	0.0227689781766179	0.0603427270916169	stable
ENSG00000006007	upregulation	NA	NA	NA	upregulation	yes	2.0540143385136	significant	5.8588	9.999900001e-06	1.44868493511597e-05	0.452637171854041	0.139526804536855	0.247731895591228	0.977621633555105	4.25721005779179e-08	4.69948688046238e-06	positively_correlated
ENSG00000006025	moderate_expression	flat	cluster_1	downregulation	downregulation	yes	1.49529247403268	significant	5.6188	9.999900001e-06	1.44868493511597e-05	0.559973139511197	0.0582979843323948	0.128236378043282	-0.270962559701006	0.394291298208107	0.519275433000503	not_correlated
ENSG00000006042	downregulation	NA	NA	NA	downregulation	yes	1.2756159816638	ns	11.1097	0.228157718423	0.271890772920128	0.054881812273254	0.86548022806454	0.911151408385089	0.941345804743869	4.95233622320555e-06	0.00012037054526617	stable
ENSG00000006062	variable	variable	cluster_1	downregulation	downregulation	yes	1.55513233190272	significant	2.9418	9.999900001e-06	1.44868493511597e-05	0.624532412823608	0.0299353743339834	0.0772215188673357	0.289519937346927	0.361367810590772	0.486475501113729	not_correlated
ENSG00000006118	downregulation	NA	NA	NA	downregulation	yes	1.66183574879227	significant	2.8649	9.999900001e-06	1.44868493511597e-05	0.899801181625308	6.70844544947994e-05	0.00079943138937339	0.575022130876457	0.0504730813713184	0.109782890064332	positively_correlated
ENSG00000006194	high_expression	flat	cluster_1	downregulation	downregulation	yes	3.901999898995	ns	7.9894	9.999900001e-06	1.44868493511597e-05	0.165069646609579	0.608175121312974	0.716069123675996	-0.168784195882039	0.600010951223547	0.703687035609378	stable
ENSG00000006282	upregulation	NA	NA	NA	upregulation	yes	1.96890841500507	ns	13.6576	0.160238397616	0.198564887033424	-0.107377495271425	0.739771137995323	0.821687216625873	0.303689991776671	0.337241740068252	0.461818978301597	stable
ENSG00000006451	high_expression	flat	cluster_3	bending	bending	yes	0.469656748459177	ns	6.7406	9.999900001e-06	1.44868493511597e-05	0.394282646072578	0.204698730520206	0.32748530196929	0.745287639221364	0.00540334826671452	0.0200306959066451	stable
ENSG00000006459	upregulation	NA	NA	NA	upregulation	yes	0.535040831477357	ns	13.7105	0.393336066639	0.439291916786629	-0.378906646125907	0.224501888962855	0.3510440923147	0.92884381720081	1.27379648043049e-05	0.000232644697157645	stable
ENSG00000006530	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.231585200271555	ns	7.8429	9.999900001e-06	1.44868493511597e-05	0.311191181727882	0.324832551549159	0.460031266718039	0.214498299485548	0.503203830049496	0.621131237961391	stable
ENSG00000006534	upregulation	NA	NA	NA	upregulation	yes	2.59044263378111	ns	7.8772	9.999900001e-06	1.44868493511597e-05	0.25194888133227	0.429538892472923	0.56018276227141	0.747305431362	0.00521202698719646	0.0195125720651142	stable
ENSG00000006576	variable	variable	cluster_3	bending	bending	yes	0.390076658868037	significant	5.6804	9.999900001e-06	1.44868493511597e-05	0.423001194545345	0.17066600812583	0.287653703740101	0.630867906782497	0.0278326714742257	0.0697147747352485	not_correlated
ENSG00000006607	variable	variable	cluster_1	downregulation	downregulation	yes	0.18722750517429	significant	3.4237	9.999900001e-06	1.44868493511597e-05	0.489464314093922	0.106290363098232	0.202333322497387	-0.50599635362194	0.0932598762200976	0.173752812048133	not_correlated
ENSG00000006625	downregulation	NA	NA	NA	downregulation	yes	2.93906494522692	significant	6.839	9.999900001e-06	1.44868493511597e-05	0.0269744390371705	0.933681950862138	0.95585004415552	0.645741785077975	0.023317821683073	0.0614285869198092	not_correlated
ENSG00000006634	downregulation	NA	NA	NA	downregulation	yes	1.638340032837	ns	6.6238	9.999900001e-06	1.44868493511597e-05	0.248516540686976	0.436060569139789	0.565994227795217	0.561215142016908	0.0576221396689695	0.120743676796459	stable
ENSG00000006695	variable	variable	cluster_1	downregulation	downregulation	yes	0.228088566531144	ns	9.2477	9.999900001e-06	1.44868493511597e-05	-0.303027509167903	0.338349811280621	0.473830737261159	0.778411898447764	0.00286073759369868	0.0124723765193182	stable
ENSG00000006704	variable	variable	cluster_1	downregulation	downregulation	yes	0.350820541723303	significant	2.4899	9.999900001e-06	1.44868493511597e-05	0.630671405067662	0.0278962377816247	0.0735462942171697	0.124371932938037	0.700153784772085	0.785548035201656	not_correlated
ENSG00000006712	high_expression	flat	cluster_1	downregulation	downregulation	yes	5.01102941176471	significant	13.9161	0.909480905191	0.953344250376659	-0.374323529972738	0.230618863409071	0.357403533244589	0.138495832257726	0.667737953256202	0.760232237857083	not_correlated
ENSG00000006715	variable	variable	cluster_2	upregulation	upregulation	yes	0.0792216882969465	ns	9.8284	9.999900001e-06	1.44868493511597e-05	0.105444776040702	0.744315636738621	0.824911000886728	0.70150689378715	0.0110085158933783	0.0344471198112483	stable
ENSG00000006744	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.17674569198115	ns	4.9233	9.999900001e-06	1.44868493511597e-05	0.348248991477052	0.267290378520904	0.400694194668602	-0.0916247855125069	0.777022071082017	0.844723214465856	stable
ENSG00000006831	variable	variable	cluster_1	downregulation	downregulation	yes	0.480730620439743	ns	4.4151	9.999900001e-06	1.44868493511597e-05	0.824977713281203	0.000956401719364705	0.00557437630036696	0.431582786318821	0.161237190967988	0.264241595495195	stable
ENSG00000007038	variable	variable	cluster_1	downregulation	downregulation	yes	1.75793258426966	significant	3.3235	9.999900001e-06	1.44868493511597e-05	0.778593720849252	0.00284996205024026	0.012747738785793	0.258861213563944	0.416551058751597	0.541148711173209	positively_correlated
ENSG00000007047	high_expression	flat	cluster_3	bending	bending	yes	1.12791013877436	ns	8.0608	9.999900001e-06	1.44868493511597e-05	0.0926312343668693	0.774628287932295	0.847793997613387	0.680823312782235	0.0148008584768004	0.0431221492571883	stable
ENSG00000007168	high_expression	flat	cluster_3	bending	bending	yes	0.564953498718302	ns	8.5144	9.999900001e-06	1.44868493511597e-05	0.219491532158196	0.49307187844494	0.615764008895736	0.191831869217088	0.550323309206289	0.663024050564133	stable
ENSG00000007376	peaking	H006	NA	NA	peaking	yes	6.52157079646018	ns	6.4828	9.999900001e-06	1.44868493511597e-05	0.192540981906287	0.548822114376054	0.665691675332116	0.605077595936041	0.0371061083426775	0.0865361279146724	stable
ENSG00000007392	variable	variable	cluster_1	downregulation	downregulation	yes	0.668008000941287	ns	6.0888	9.999900001e-06	1.44868493511597e-05	0.400202825990976	0.19736890745551	0.318747208576961	-0.021439074539399	0.947272097978377	0.966361010747291	stable
ENSG00000007545	moderate_expression	flat	cluster_1	downregulation	downregulation	yes	1.1598603219697	significant	12.1639	0.130628693713	0.16485320591318	-0.150901421454757	0.639687526768107	0.743305413601886	0.551170449402563	0.0632468985862145	0.129325019285627	not_correlated
ENSG00000007923	variable	variable	cluster_1	downregulation	downregulation	yes	0.370041716243531	ns	7.1086	9.999900001e-06	1.44868493511597e-05	0.29803684524363	0.346760134309476	0.482085458666088	0.765249012094194	0.00372701553310797	0.0151057212938002	stable
ENSG00000007944	upregulation	NA	NA	NA	upregulation	yes	3.08592122704033	significant	3.826	9.999900001e-06	1.44868493511597e-05	0.634908579203012	0.0265486120770425	0.0709260056155499	0.850237973162531	0.000458839225564261	0.00329138462525699	positively_correlated
ENSG00000007968	downregulation	NA	NA	NA	downregulation	yes	3.21410175058788	significant	2.4552	0.000619993800062	0.000836110690515763	0.847677222952165	0.000497176424064814	0.00349114390059596	0.890164381551929	0.000104414432572831	0.00111792713250866	positively_correlated
ENSG00000008018	variable	variable	cluster_1	downregulation	downregulation	yes	2.36489493201483	ns	7.0717	9.999900001e-06	1.44868493511597e-05	0.604042926049543	0.0375188215482678	0.0915705869802519	0.107375521928186	0.739775774147574	0.818790955706018	stable
ENSG00000008083	variable	variable	cluster_1	downregulation	downregulation	yes	0.761702280869143	ns	6.8123	3.9999600004e-05	5.54723831976621e-05	0.326133459020816	0.300872386106668	0.436741454583797	0.634094448944327	0.0268038108648537	0.0676736622470957	stable
ENSG00000008128	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.781860563678745	significant	4.1685	9.999900001e-06	1.44868493511597e-05	0.830041264055988	0.000833319073226591	0.00502875768794376	-0.832388673709657	0.000780594322473822	0.00480198426859283	positively_correlated
