H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000006712	1.02	1.23	1.16	1.29	1.73	1.26	3.02	2.42	2.89	3.38	4.73	5.75
ENSG00000006715	4.91	3.25	3.71	3.12	3.06	3.87	2.17	0.18	0.08	0.1	0.09	0.18
ENSG00000006744	0.08	0.14	0.16	0.21	0.15	0.13	0.14	0.12	0.09	0.07	0.08	0.07
ENSG00000006756	8.86	4.85	8.16	5.51	4.38	6.19	8.96	6.29	4.97	5.89	2.97	1.79
ENSG00000006831	0.06	0.24	0.29	0.18	0.58	0.67	0.69	2.72	0.46	0.31	0.23	0.18
ENSG00000007038	7.46	7.6	11.67	9.25	8.65	5.16	6.63	8.14	7.66	4.75	0.54	0.52
ENSG00000007047	15.4	16.18	19.45	17.36	13.42	17.24	14.24	13.9	12.31	15.25	13.09	13.46
ENSG00000007080	0.32	0.21	0.28	0.19	0.14	0.1	0.11	0.13	0.18	0.08	0.05	0.06
ENSG00000007129	19.2	19.19	21.15	20.27	20.26	24.92	21.45	17.37	16.59	19.52	17.73	14.82
ENSG00000007168	0.12	0.06	0.19	0.17	0.23	0.1	0.08	0.12	0.1	0.13	0.07	0.09
ENSG00000007202	2.04	2.92	2.2	0.23	2.28	2.27	2.39	0.26	0.33	0.69	0.28	1.85
ENSG00000007237	0.27	0.25	0.96	0.86	0.82	0.75	3.06	3.8	2.5	3.94	1.9	1.03
ENSG00000007255	8.17	7.66	10.76	8.36	8.33	7.48	7.19	9.09	11.84	10.55	10.35	9.71
ENSG00000007312	8.25	10.74	11.72	8.06	11.06	7.94	8.28	10.66	11.43	9	7.51	6.55
ENSG00000007341	3.14	2.13	1.38	2.43	1.75	3.62	5.13	2.34	1.97	3.19	6.31	7.57
ENSG00000007376	1.64	1.03	3.86	2.04	2.13	1.02	0.54	1.1	2.2	0.61	0.25	0.28
ENSG00000007384	13.09	11.28	14.44	17.59	17.78	11.51	14.92	15.11	17.58	14.48	10.82	8.3
ENSG00000007392	4.07	6.01	6.01	5.68	6	6.09	5.97	5.03	6.19	6.44	4.83	4.3
ENSG00000007520	1.84	1.08	2.85	2.9	2.7	2.24	0.86	2.77	3.1	1.88	5.61	4.12
ENSG00000007541	5.19	5.75	5.71	3.67	3.69	3.49	2.58	6.64	0.71	1.42	0.12	0.1
ENSG00000007545	6.26	9.53	11.76	8.97	7.13	6.19	6.87	4.94	6.57	5.78	3.64	4.92
ENSG00000007923	0.2	0.12	0.13	0.16	0.12	0.09	0.14	0.11	0.07	0.07	0.06	0.04
ENSG00000007944	1.02	0.85	0.7	0.78	0.38	0.68	0.23	0.26	0.27	0.33	2.48	0.54
ENSG00000007968	18.17	18.43	20.28	18.01	17.19	18.45	19.8	19.83	18.6	17.7	12.48	25.72
ENSG00000008018	8.59	8.29	10.49	10.41	7.8	8.78	5.46	7.79	13.31	5.05	7.22	7.55
ENSG00000008083	9.46	6.54	9.76	7.93	10.08	12.03	10.54	11.47	11.65	11.11	15.69	9.34
