H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000006059	0.17	0.15	0.1	0.1	0.14	0.13	0.22	0.15	0.34	0.15	0.18	0.16
ENSG00000006062	0.37	0.55	0.53	0.39	0.59	0.5	0.46	0.62	0.68	0.79	0.67	0.37
ENSG00000006118	2.93	0.72	1.46	0.7	1.02	1.61	2.36	1.94	2.77	0.89	0.58	0.4
ENSG00000006125	1.13	0.64	0.46	0.57	0.43	0.35	0.32	0.58	0.53	0.77	0.63	0.49
ENSG00000006128	0.14	0.21	0.14	0.16	0.1	0.23	0.15	0.1	0.18	0.25	0.25	0.19
ENSG00000006194	0.25	0.24	0.4	0.35	0.57	0.35	0.77	2.73	0.66	3.09	0.64	0.45
ENSG00000006282	1.17	1.21	4.29	2.37	1.02	0.69	1.24	3.95	0.66	0.45	0.41	0.48
ENSG00000006327	0.22	0.38	0.4	0.36	0.29	0.2	0.28	0.44	0.25	0.37	0.24	0.25
ENSG00000006377	0.21	0.16	0.18	0.13	0.17	0.23	0.24	0.18	0.24	0.23	0.14	0.17
ENSG00000006451	0.17	0.18	0.18	0.3	0.23	0.14	0.29	0.17	0.17	2.05	5.36	5.55
ENSG00000006459	0.17	0.2	0.28	0.19	0.19	0.26	0.17	0.21	0.23	3.46	2.96	0.21
ENSG00000006530	0.17	0.19	0.2	0.25	0.29	0.18	0.13	0.2	0.15	0.21	0.15	0.19
ENSG00000006534	16.94	18.37	20.16	29.79	32.66	35.68	21.45	25.78	37.05	21.54	19.89	33.42
ENSG00000006576	0.25	0.34	0.21	1.43	1.44	3.51	1.67	0.28	1.75	3.07	2.95	0.66
ENSG00000006607	1.46	0.79	0.47	0.64	0.38	0.56	0.84	0.54	0.6	1.2	0.5	0.69
ENSG00000006625	0.15	0.22	0.23	0.2	0.15	0.18	0.14	0.19	0.22	0.18	0.11	0.23
ENSG00000006634	1.47	0.23	0.36	1.29	0.25	0.39	2.23	0.44	3.24	9.78	5.35	4.77
ENSG00000006652	0.31	2.25	2.58	1.9	0.57	2.99	2.7	2.31	0.28	0.3	0.19	0.35
ENSG00000006695	0.25	0.05	0.14	0.25	0.16	0.1	0.19	0.17	0.09	0.14	0.26	0.17
ENSG00000006704	0.2	0.57	0.27	0.37	0.37	0.44	0.36	0.35	0.27	0.18	0.21	0.24
ENSG00000006712	4.45	3.62	2.94	4.1	3.65	4.2	3.07	2.74	3.71	3.44	4.55	3.94
ENSG00000006715	0.26	0.15	0.1	0.14	0.1	0.25	0.16	0.16	0.1	0.09	0.14	0.18
ENSG00000006744	0.25	0.23	0.17	0.23	0.2	0.63	0.26	0.18	0.34	0.13	0.21	0.26
ENSG00000006756	0.6	0.62	0.35	0.36	0.43	0.4	0.53	0.45	0.53	0.35	0.39	0.35
ENSG00000006831	0.28	0.25	0.44	0.32	0.32	0.34	0.34	0.37	0.33	0.38	0.42	0.24
ENSG00000007038	0.46	0.47	2.56	1.61	1.62	0.56	0.33	0.47	0.56	0.44	0.5	0.41
ENSG00000007047	65.38	53.72	35.42	64.91	41.99	59.15	60.21	67.01	68.81	62.02	42.53	42.46
ENSG00000007080	0.41	0.42	0.42	0.39	0.44	0.41	0.37	0.54	0.6	0.39	0.81	2.61
ENSG00000007129	15.35	10.84	8.45	15.31	18.37	13.2	19.42	17.63	13.89	19.01	12.64	9.97
ENSG00000007168	0.37	0.23	0.53	0.33	0.44	0.47	0.62	0.32	0.25	0.38	0.37	0.29
ENSG00000007202	0.37	0.59	0.44	0.57	0.68	1.79	0.68	0.77	0.71	0.61	2.78	0.75
ENSG00000007237	0.27	0.27	0.34	0.44	0.36	0.31	0.18	0.32	0.33	0.33	0.33	0.18
ENSG00000007255	6.73	7.64	6.8	5.09	5.45	7.29	5.87	5.01	5.11	4.95	5.7	6.89
ENSG00000007312	5.78	0.42	0.48	0.66	0.52	0.6	0.39	0.38	0.5	0.36	0.28	0.17
ENSG00000007341	0.4	0.51	0.37	0.39	0.32	0.4	0.39	0.4	0.32	0.37	0.69	1.52
ENSG00000007376	0.69	0.92	1.48	1.38	1.59	1.25	2.21	0.8	2.04	0.35	0.52	0.3
ENSG00000007384	67.96	73.09	74.42	67.59	62.29	60.03	63.55	50.63	52.12	46.28	54.1	64.97
ENSG00000007392	11.49	14.19	13.22	12.18	12.84	17.44	14.8	16.42	22.44	14.63	13.82	15.45
ENSG00000007520	0.61	0.57	2.05	0.83	0.65	0.46	0.58	1.96	1.63	1.92	5.15	5.3
ENSG00000007541	0.47	0.51	0.57	0.56	0.51	0.29	0.27	0.47	0.41	0.35	0.21	0.26
ENSG00000007545	23.36	13.71	14.83	11.87	18.12	16.52	12.84	12.4	11.7	20.21	9.77	11.53
ENSG00000007923	0.64	0.51	0.48	0.39	0.35	0.34	0.4	0.47	0.6	0.28	0.49	0.57
ENSG00000007944	0.42	0.35	0.28	0.19	0.24	0.2	0.33	0.19	0.28	0.34	0.25	0.22
ENSG00000007968	6.77	4.88	4.72	8	6	8.52	7.63	5.5	6.37	4.39	3.79	0.6
ENSG00000008018	3.77	8.19	14.53	6.2	6.93	5.51	3.69	4.28	5.5	4.65	5.97	5.87
ENSG00000008083	3.77	4.45	2.06	2.73	3.01	2.71	2.58	2.33	3.21	3.57	2.67	1.26
ENSG00000008128	0.42	0.62	2.86	0.76	2.24	4.71	5.17	7.97	12.52	16.24	10.09	9.28
ENSG00000008130	9.9	9.4	13.53	16.25	21.61	17.2	25.58	23.97	19.45	10.73	6.08	9
ENSG00000008196	0.59	4.79	0.44	2.93	0.37	0.41	4.33	0.33	2.12	0.71	3.07	3.45
ENSG00000008197	0.15	0.18	0.15	0.11	0.18	0.22	0.12	0.15	0.2	0.15	0.14	0.09
ENSG00000008256	0.6	0.41	0.39	0.53	0.31	0.36	0.31	0.34	0.39	0.36	0.3	0.64
ENSG00000008282	0.35	0.29	0.42	0.16	0.27	0.37	0.37	0.21	0.31	0.33	0.27	0.43
ENSG00000008283	4.01	2.66	1.88	1.42	2.22	3.13	0.51	0.47	2.35	1.77	3.52	3.54
ENSG00000008294	0.25	0.27	0.27	0.34	0.31	0.32	0.28	0.18	0.34	0.2	0.26	0.2
ENSG00000008311	0.22	0.18	0.13	0.15	0.17	0.11	0.23	0.19	0.18	0.15	0.27	0.23
ENSG00000008324	3.71	0.37	0.32	0.33	0.31	0.4	0.37	0.24	2.61	1.78	1.38	0.35
ENSG00000008382	16.33	15.46	16.27	11.97	18.16	16	11.02	14.66	11.93	12.39	16.92	20.33
ENSG00000008405	0.18	0.14	0.14	0.15	0.17	0.21	0.14	0.1	0.14	0.13	0.13	0.11
ENSG00000008441	0.28	0.38	0.33	0.41	0.36	0.49	0.36	0.38	0.28	0.27	0.27	0.22
ENSG00000008513	3.2	3.61	2.36	3.09	2.66	3.21	3.51	2.31	3.27	2.92	4.93	7.14
ENSG00000008710	1.39	2.13	0.82	0.6	0.61	0.67	0.99	0.59	2.47	0.34	0.62	0.32
ENSG00000008838	58.29	33.46	29.99	32.89	31.32	34.73	26.77	21.84	20.66	22.11	20.61	27.03
ENSG00000008853	0.36	0.43	2	0.4	0.69	3.61	2.76	4.33	5.07	7.39	3.33	3.25
ENSG00000008869	0.26	0.34	0.2	0.23	0.21	0.24	0.27	0.23	0.11	0.22	0.32	0.21
ENSG00000008952	0.14	0.16	0.11	0.18	0.2	0.14	0.3	0.24	0.27	0.23	0.2	0.13
ENSG00000008988	0.62	0.44	0.51	0.5	0.65	0.41	0.53	0.55	2.4	0.72	0.59	2.44
ENSG00000009307	0.18	0.14	0.15	0.16	0.15	0.16	0.13	0.12	0.18	0.36	0.19	0.19
ENSG00000009335	0.31	0.38	0.46	0.48	2.38	0.45	6.66	1.99	4.01	5.44	0.42	0.24
ENSG00000009413	0.49	0.93	2.77	6.35	4.33	3.24	3.91	2.45	2.45	2.04	0.33	1.74
ENSG00000009765	0.21	0.2	0.18	0.29	0.2	0.11	0.31	0.29	0.23	0.22	0.2	0.12
