class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000005175	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.936064768333583	significant	20.2904	1	1	-0.878072933265789	0.000172342136917022	0.00368455189491778	-0.65305026104144	0.0213062307780833	0.0509688483201045	negatively_correlated
ENSG00000005194	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.56076779026217	significant	17.5444	1	1	-0.627756398986928	0.028851565149775	0.104879161680712	-0.613616743387396	0.0338227320115273	0.0733294697847202	not_correlated
ENSG00000005206	variable	variable	cluster_1	downregulation	downregulation	yes	5.53320090805902	significant	3.8342	9.999900001e-06	1.77221798737652e-05	0.667120344945517	0.0177939994516925	0.0752823053725452	0.766594483402136	0.00363034149177338	0.0136488522249614	positively_correlated
ENSG00000005238	variable	variable	cluster_2	upregulation	upregulation	yes	5.90456781447646	ns	7.8495	9.999900001e-06	1.77221798737652e-05	-0.118671156419802	0.713372376761111	0.823279704712808	0.744544444376149	0.00547513350858153	0.0184306392959761	stable
ENSG00000005249	peaking	H006	NA	NA	peaking	yes	0.227679732802967	ns	5.3625	9.999900001e-06	1.77221798737652e-05	0.420801254167819	0.173137718959099	0.334366494286091	-0.098523165013454	0.760651371450675	0.817816706462629	stable
ENSG00000005302	variable	variable	cluster_2	upregulation	upregulation	yes	2.0046950752743	ns	6.2085	9.999900001e-06	1.77221798737652e-05	0.488987968303865	0.106682809368894	0.243301039259363	0.530027354913789	0.0763065216187477	0.137111132764498	stable
ENSG00000005379	downregulation	NA	NA	NA	downregulation	yes	6.30575965868689	significant	1.806	9.999900001e-06	1.77221798737652e-05	0.906725038619307	4.74609775952161e-05	0.00177261232599807	0.813490379070847	0.00128752780578237	0.00632895676804174	positively_correlated
ENSG00000005381	peaking	H024	NA	NA	peaking	yes	4.40573394495413	significant	3.2469	9.999900001e-06	1.77221798737652e-05	0.873374000658846	0.000206507688908582	0.00410459589588097	0.573696311209856	0.0511310027956016	0.100030196248972	positively_correlated
ENSG00000005436	variable	variable	cluster_1	downregulation	downregulation	yes	0.124495818986719	significant	2.4121	9.999900001e-06	1.77221798737652e-05	0.717741339693963	0.00857981819638354	0.0466705439990546	0.00289561125075208	0.99287416135063	0.994494671595145	positively_correlated
ENSG00000005469	variable	variable	cluster_3	bending	bending	yes	0.353595295375568	ns	5.3041	9.999900001e-06	1.77221798737652e-05	0.342241464602581	0.276188856311731	0.449924126017681	0.549780817997001	0.0640538986739437	0.119036106131079	stable
ENSG00000005471	variable	variable	cluster_1	downregulation	downregulation	yes	0.658826589380597	ns	15.2587	0.228097719023	0.317604418892785	-0.484300821540276	0.110595849952413	0.249112110832504	0.109574008300217	0.734615633854553	0.796515836761569	stable
ENSG00000005486	variable	variable	cluster_3	bending	bending	yes	5.43321262286601	significant	4.7782	9.999900001e-06	1.77221798737652e-05	0.599539642133711	0.0393532794096506	0.127474541548769	0.718728463047761	0.00844635776719702	0.0252486408424956	positively_correlated
ENSG00000005700	variable	variable	cluster_2	upregulation	upregulation	yes	0.32454996740711	ns	8.0552	9.999900001e-06	1.77221798737652e-05	0.0884701674786245	0.784536614099632	0.867954344155749	0.247322104384292	0.438341264115153	0.53834461285571	stable
ENSG00000005801	downregulation	NA	NA	NA	downregulation	yes	0.957223201944617	ns	8.2068	9.999900001e-06	1.77221798737652e-05	0.237475370069136	0.457360376380119	0.623293449955926	0.760710203683008	0.00406760166153099	0.0148397956956465	stable
ENSG00000005810	variable	variable	cluster_1	downregulation	downregulation	yes	0.811228006019775	ns	6.3302	9.999900001e-06	1.77221798737652e-05	-0.000229164972604423	0.999436039364721	0.999638413500081	-0.767690840948393	0.00355298403932924	0.0134467299173476	stable
ENSG00000005812	variable	variable	cluster_3	bending	bending	yes	3.04563090879283	significant	13.5572	0.472675273247	0.567945899173038	-0.239187901877523	0.454024956708274	0.620776503042302	0.508459001852867	0.091415689421484	0.158134078535256	not_correlated
ENSG00000005844	upregulation	NA	NA	NA	upregulation	yes	2.68306427048431	ns	9.9293	1.9999800002e-05	3.48823618627411e-05	-0.291577583100254	0.357809377755955	0.532272935046373	0.953598934749383	1.56676621619022e-06	6.04688014673644e-05	stable
ENSG00000005882	variable	variable	cluster_2	upregulation	upregulation	yes	1.80485166872682	ns	16.0055	0.225647743523	0.315176792570828	-0.349549375063039	0.265386308375879	0.437640429766421	0.375581508607398	0.228930069379002	0.324694061067676	stable
ENSG00000005893	upregulation	NA	NA	NA	upregulation	yes	1.78825880245297	ns	15.2767	0.405735942641	0.501162839471963	-0.265434824046753	0.40438306555726	0.573961287025242	0.606517359012782	0.0365372115669536	0.0775043535977548	stable
ENSG00000006007	upregulation	NA	NA	NA	upregulation	yes	3.76702141871132	significant	1.924	0.000539994600054	0.000912682937999078	0.960812724557166	6.81392973313668e-07	0.000118947512515408	0.972168679279121	1.25506786406869e-07	1.20637727946265e-05	positively_correlated
ENSG00000006025	moderate_expression	flat	cluster_1	downregulation	downregulation	yes	2.28287675393306	ns	9.7913	9.999900001e-06	1.77221798737652e-05	-0.00507843702861134	0.987502713628434	0.992322211292244	-0.55020622558429	0.0638060991479706	0.118713866371854	stable
ENSG00000006042	downregulation	NA	NA	NA	downregulation	yes	1.47470959004011	significant	4.9165	9.999900001e-06	1.77221798737652e-05	0.654974111344787	0.0207984536289135	0.0840098504226234	0.915919942705095	2.86987749058766e-05	0.000454283385315642	positively_correlated
ENSG00000006062	variable	variable	cluster_1	downregulation	downregulation	yes	8.49908798283262	significant	6.7326	9.999900001e-06	1.77221798737652e-05	-9.18941629058944e-05	0.99977385421102	0.99977385421102	0.210175225875088	0.512049822973465	0.605335844171197	not_correlated
ENSG00000006118	downregulation	NA	NA	NA	downregulation	yes	5.16568007076274	significant	2.1519	9.999900001e-06	1.77221798737652e-05	0.775257738770981	0.0030526520813725	0.0241746756251017	0.514560849124537	0.08695258419151	0.151962259951778	positively_correlated
ENSG00000006194	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.44543204888642	significant	12.5231	0.281117188828	0.373551386114321	-0.357570039207216	0.253816324874064	0.426479407561987	-0.636537760294525	0.0260432096281942	0.0594996352845743	not_correlated
