class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000004864	high_expression	flat	cluster_3	bending	bending	yes	0.116251814365855	significant	3.7781	9.999900001e-06	1.3738516493924e-05	0.817118779780217	0.00117467813906862	0.00481515995483315	0.562057717585439	0.057166766687572	0.127822321020526	positively_correlated
ENSG00000004866	moderate_expression	flat	cluster_1	downregulation	downregulation	yes	0.123173854109142	significant	14.9768	0.188278117219	0.218568585548606	-0.40642444440113	0.189842140009179	0.278310242535386	-0.616387384513536	0.0328036443853201	0.0847782497750481	not_correlated
ENSG00000004897	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.363062940857298	ns	5.3101	9.999900001e-06	1.3738516493924e-05	0.412892667607045	0.182208073659984	0.269631648570447	-0.458836229348472	0.133515097677605	0.236016028761656	stable
ENSG00000004961	high_expression	flat	cluster_2	upregulation	upregulation	yes	2.21831905937001	significant	5.1183	9.999900001e-06	1.3738516493924e-05	0.352860771140832	0.260573192893187	0.357365207151062	0.871096200092002	0.00022486296078022	0.00219970984903884	positively_correlated
ENSG00000005007	variable	variable	cluster_1	downregulation	downregulation	yes	3.88829995561242	significant	9.4286	9.999900001e-06	1.3738516493924e-05	-0.070108012316853	0.828594260105981	0.871121472368124	0.0924017913814685	0.775173847687639	0.843063782974943	not_correlated
ENSG00000005022	variable	variable	cluster_1	downregulation	downregulation	yes	5.31626016260163	ns	4.4279	9.999900001e-06	1.3738516493924e-05	0.454221275739956	0.137974254240711	0.215630131992789	0.163303584908253	0.612071254222514	0.719233419487926	stable
ENSG00000005059	bending	H009	NA	NA	bending	yes	0.238442561407272	significant	4.0648	9.999900001e-06	1.3738516493924e-05	0.588022504794592	0.044333718707595	0.0867326012131059	0.581095419843478	0.047535153083053	0.111649400572765	not_correlated
ENSG00000005100	variable	variable	cluster_1	downregulation	downregulation	yes	1.75687419151547	significant	2.6341	9.999900001e-06	1.3738516493924e-05	0.9350788775675	8.13953650561192e-06	0.000150421093432781	0.549367966430817	0.0642950205383323	0.13920855312816	positively_correlated
ENSG00000005156	downregulation	NA	NA	NA	downregulation	yes	2.524896	significant	4.1191	9.999900001e-06	1.3738516493924e-05	0.825502106459709	0.00094304167326015	0.00408552104402956	0.58644876801958	0.0450472421748228	0.107551304052666	positively_correlated
ENSG00000005175	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.669386708820199	significant	8.4586	9.999900001e-06	1.3738516493924e-05	0.268113158980411	0.399477231375327	0.50056331616571	-0.434174123662839	0.158456408651023	0.268079280098224	not_correlated
