class	time_point	hc	class2	final_class
ENSG00000147459	upregulation	NA	NA	NA	upregulation
ENSG00000147475	variable	variable	cluster_2	upregulation	upregulation
ENSG00000147526	upregulation	NA	NA	NA	upregulation
ENSG00000147536	downregulation	NA	NA	NA	downregulation
ENSG00000147586	variable	variable	cluster_1	downregulation	downregulation
ENSG00000147601	downregulation	NA	NA	NA	downregulation
ENSG00000147604	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000147669	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000147677	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000147679	downregulation	NA	NA	NA	downregulation
ENSG00000147684	variable	variable	cluster_1	downregulation	downregulation
ENSG00000147852	variable	variable	cluster_1	downregulation	downregulation
ENSG00000147854	variable	variable	cluster_1	downregulation	downregulation
ENSG00000147874	downregulation	NA	NA	NA	downregulation
ENSG00000147883	upregulation	NA	NA	NA	upregulation
ENSG00000147889	peaking	H072	NA	NA	peaking
ENSG00000147894	variable	variable	cluster_3	bending	bending
ENSG00000147905	downregulation	NA	NA	NA	downregulation
ENSG00000147912	variable	variable	cluster_3	bending	bending
ENSG00000147955	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000147996	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148019	downregulation	NA	NA	NA	downregulation
ENSG00000148090	variable	variable	cluster_3	bending	bending
ENSG00000148110	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000148120	downregulation	NA	NA	NA	downregulation
ENSG00000148154	variable	variable	cluster_3	bending	bending
ENSG00000148158	upregulation	NA	NA	NA	upregulation
ENSG00000148175	variable	variable	cluster_3	bending	bending
ENSG00000148180	bending	H009	NA	NA	bending
ENSG00000148218	variable	variable	cluster_2	upregulation	upregulation
ENSG00000148219	bending	H048	NA	NA	bending
ENSG00000148229	downregulation	NA	NA	NA	downregulation
ENSG00000148290	upregulation	NA	NA	NA	upregulation
ENSG00000148291	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148296	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148300	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148308	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148331	peaking	H006	NA	NA	peaking
ENSG00000148337	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000148339	peaking	H003	NA	NA	peaking
ENSG00000148341	variable	variable	cluster_3	bending	bending
ENSG00000148344	peaking	H036	NA	NA	peaking
ENSG00000148356	upregulation	NA	NA	NA	upregulation
ENSG00000148358	upregulation	NA	NA	NA	upregulation
ENSG00000148362	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148384	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148396	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000148399	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148411	peaking	H048	NA	NA	peaking
ENSG00000148429	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000148444	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148459	peaking	H006	NA	NA	peaking
ENSG00000148468	downregulation	NA	NA	NA	downregulation
ENSG00000148481	high_expression	flat	cluster_3	bending	bending
ENSG00000148483	upregulation	NA	NA	NA	upregulation
ENSG00000148484	variable	variable	cluster_2	upregulation	upregulation
ENSG00000148498	downregulation	NA	NA	NA	downregulation
ENSG00000148572	upregulation	NA	NA	NA	upregulation
ENSG00000148606	downregulation	NA	NA	NA	downregulation
ENSG00000148634	variable	variable	cluster_2	upregulation	upregulation
ENSG00000148672	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000148680	bending	H018	NA	NA	bending
ENSG00000148688	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000148690	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148700	peaking	H048	NA	NA	peaking
ENSG00000148730	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148737	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148773	downregulation	NA	NA	NA	downregulation
ENSG00000148803	upregulation	NA	NA	NA	upregulation
ENSG00000148824	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148834	variable	variable	cluster_2	upregulation	upregulation
ENSG00000148835	peaking	H006	NA	NA	peaking
ENSG00000148840	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148841	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000148843	downregulation	NA	NA	NA	downregulation
ENSG00000148908	variable	variable	cluster_3	bending	bending
ENSG00000148926	upregulation	NA	NA	NA	upregulation
ENSG00000148950	variable	variable	cluster_1	downregulation	downregulation
ENSG00000148985	variable	variable	cluster_3	bending	bending
ENSG00000149016	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000149089	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000149100	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000149131	bending	H009	NA	NA	bending
ENSG00000149136	downregulation	NA	NA	NA	downregulation
ENSG00000149150	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149177	upregulation	NA	NA	NA	upregulation
ENSG00000149179	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149182	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000149187	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149218	downregulation	NA	NA	NA	downregulation
ENSG00000149231	variable	variable	cluster_3	bending	bending
ENSG00000149256	downregulation	NA	NA	NA	downregulation
ENSG00000149257	variable	variable	cluster_2	upregulation	upregulation
ENSG00000149260	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000149262	high_expression	flat	cluster_3	bending	bending
ENSG00000149269	variable	variable	cluster_2	upregulation	upregulation
ENSG00000149273	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000149308	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000149311	bending	H006	NA	NA	bending
ENSG00000149313	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000149357	variable	variable	cluster_2	upregulation	upregulation
ENSG00000149428	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149474	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149480	downregulation	NA	NA	NA	downregulation
ENSG00000149499	variable	variable	cluster_2	upregulation	upregulation
ENSG00000149503	downregulation	NA	NA	NA	downregulation
ENSG00000149532	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149547	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149554	downregulation	NA	NA	NA	downregulation
ENSG00000149557	upregulation	NA	NA	NA	upregulation
ENSG00000149564	variable	variable	cluster_3	bending	bending
ENSG00000149577	upregulation	NA	NA	NA	upregulation
ENSG00000149582	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149596	peaking	H018	NA	NA	peaking
ENSG00000149600	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000149636	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149639	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149679	downregulation	NA	NA	NA	downregulation
ENSG00000149716	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000149761	variable	variable	cluster_2	upregulation	upregulation
ENSG00000149781	variable	variable	cluster_2	upregulation	upregulation
ENSG00000149782	variable	variable	cluster_2	upregulation	upregulation
ENSG00000149792	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000149806	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149809	variable	variable	cluster_3	bending	bending
ENSG00000149823	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149925	variable	variable	cluster_2	upregulation	upregulation
ENSG00000149929	variable	variable	cluster_1	downregulation	downregulation
ENSG00000149932	variable	variable	cluster_2	upregulation	upregulation
ENSG00000150093	upregulation	NA	NA	NA	upregulation
ENSG00000150316	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000150337	upregulation	NA	NA	NA	upregulation
ENSG00000150347	variable	variable	cluster_3	bending	bending
ENSG00000150401	variable	variable	cluster_1	downregulation	downregulation
ENSG00000150403	upregulation	NA	NA	NA	upregulation
ENSG00000150455	moderate_expression	flat	cluster_3	bending	bending
ENSG00000150456	variable	variable	cluster_1	downregulation	downregulation
ENSG00000150457	variable	variable	cluster_2	upregulation	upregulation
ENSG00000150459	variable	variable	cluster_1	downregulation	downregulation
ENSG00000150477	variable	variable	cluster_1	downregulation	downregulation
ENSG00000150540	upregulation	NA	NA	NA	upregulation
ENSG00000150551	upregulation	NA	NA	NA	upregulation
ENSG00000150681	upregulation	NA	NA	NA	upregulation
ENSG00000150753	downregulation	NA	NA	NA	downregulation
ENSG00000150768	downregulation	NA	NA	NA	downregulation
ENSG00000150776	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000150779	variable	variable	cluster_1	downregulation	downregulation
ENSG00000150787	variable	variable	cluster_1	downregulation	downregulation
ENSG00000150867	variable	variable	cluster_3	bending	bending
ENSG00000150907	variable	variable	cluster_1	downregulation	downregulation
ENSG00000150938	variable	variable	cluster_1	downregulation	downregulation
ENSG00000150961	variable	variable	cluster_2	upregulation	upregulation
ENSG00000150967	downregulation	NA	NA	NA	downregulation
ENSG00000150977	variable	variable	cluster_2	upregulation	upregulation
ENSG00000150990	peaking	H006	NA	NA	peaking
ENSG00000150991	variable	variable	cluster_3	bending	bending
ENSG00000150995	upregulation	NA	NA	NA	upregulation
ENSG00000151014	peaking	H003	NA	NA	peaking
ENSG00000151092	downregulation	NA	NA	NA	downregulation
ENSG00000151116	variable	variable	cluster_2	upregulation	upregulation
ENSG00000151117	upregulation	NA	NA	NA	upregulation
ENSG00000151131	variable	variable	cluster_1	downregulation	downregulation
ENSG00000151136	peaking	H036	NA	NA	peaking
ENSG00000151148	variable	variable	cluster_2	upregulation	upregulation
ENSG00000151151	variable	variable	cluster_3	bending	bending
ENSG00000151176	upregulation	NA	NA	NA	upregulation
ENSG00000151208	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000151233	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000151240	variable	variable	cluster_1	downregulation	downregulation
ENSG00000151247	downregulation	NA	NA	NA	downregulation
ENSG00000151276	downregulation	NA	NA	NA	downregulation
ENSG00000151287	downregulation	NA	NA	NA	downregulation
ENSG00000151304	variable	variable	cluster_1	downregulation	downregulation
ENSG00000151327	variable	variable	cluster_3	bending	bending
ENSG00000151353	variable	variable	cluster_1	downregulation	downregulation
ENSG00000151376	downregulation	NA	NA	NA	downregulation
ENSG00000151414	upregulation	NA	NA	NA	upregulation
ENSG00000151445	variable	variable	cluster_2	upregulation	upregulation
ENSG00000151461	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000151465	variable	variable	cluster_1	downregulation	downregulation
ENSG00000151470	variable	variable	cluster_2	upregulation	upregulation
ENSG00000151474	upregulation	NA	NA	NA	upregulation
ENSG00000151490	upregulation	NA	NA	NA	upregulation
ENSG00000151491	upregulation	NA	NA	NA	upregulation
ENSG00000151498	high_expression	flat	cluster_3	bending	bending
ENSG00000151502	bending	H006	NA	NA	bending
ENSG00000151503	variable	variable	cluster_1	downregulation	downregulation
ENSG00000151553	moderate_expression	flat	cluster_3	bending	bending
ENSG00000151576	downregulation	NA	NA	NA	downregulation
ENSG00000151611	variable	variable	cluster_3	bending	bending
ENSG00000151612	variable	variable	cluster_1	downregulation	downregulation
ENSG00000151640	downregulation	NA	NA	NA	downregulation
ENSG00000151690	variable	variable	cluster_3	bending	bending
ENSG00000151692	downregulation	NA	NA	NA	downregulation
ENSG00000151694	peaking	H009	NA	NA	peaking
ENSG00000151702	variable	variable	cluster_1	downregulation	downregulation
ENSG00000151725	downregulation	NA	NA	NA	downregulation
ENSG00000151726	upregulation	NA	NA	NA	upregulation
ENSG00000151729	variable	variable	cluster_1	downregulation	downregulation
ENSG00000151743	moderate_expression	flat	cluster_3	bending	bending
ENSG00000151746	downregulation	NA	NA	NA	downregulation
ENSG00000151748	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000151773	downregulation	NA	NA	NA	downregulation
ENSG00000151790	upregulation	NA	NA	NA	upregulation
ENSG00000151806	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000151835	peaking	H006	NA	NA	peaking
ENSG00000151849	downregulation	NA	NA	NA	downregulation
ENSG00000151876	variable	variable	cluster_3	bending	bending
ENSG00000151882	bending	H048	NA	NA	bending
ENSG00000151883	upregulation	NA	NA	NA	upregulation
ENSG00000151893	moderate_expression	flat	cluster_3	bending	bending
ENSG00000151917	peaking	H009	NA	NA	peaking
ENSG00000151923	high_expression	flat	cluster_3	bending	bending
ENSG00000151948	downregulation	NA	NA	NA	downregulation
ENSG00000152102	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152127	variable	variable	cluster_3	bending	bending
ENSG00000152193	variable	variable	cluster_1	downregulation	downregulation
ENSG00000152219	variable	variable	cluster_3	bending	bending
ENSG00000152223	moderate_expression	flat	cluster_3	bending	bending
ENSG00000152234	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152240	variable	variable	cluster_1	downregulation	downregulation
ENSG00000152253	downregulation	NA	NA	NA	downregulation
ENSG00000152270	upregulation	NA	NA	NA	upregulation
ENSG00000152291	upregulation	NA	NA	NA	upregulation
ENSG00000152315	upregulation	NA	NA	NA	upregulation
ENSG00000152359	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152382	downregulation	NA	NA	NA	downregulation
ENSG00000152404	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152413	downregulation	NA	NA	NA	downregulation
ENSG00000152422	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000152439	moderate_expression	flat	cluster_3	bending	bending
ENSG00000152443	moderate_expression	flat	cluster_3	bending	bending
ENSG00000152454	variable	variable	cluster_1	downregulation	downregulation
ENSG00000152455	downregulation	NA	NA	NA	downregulation
ENSG00000152464	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152492	variable	variable	cluster_3	bending	bending
ENSG00000152503	upregulation	NA	NA	NA	upregulation
ENSG00000152518	variable	variable	cluster_2	upregulation	upregulation
ENSG00000152520	variable	variable	cluster_1	downregulation	downregulation
ENSG00000152601	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152611	downregulation	NA	NA	NA	downregulation
ENSG00000152620	variable	variable	cluster_1	downregulation	downregulation
ENSG00000152642	downregulation	NA	NA	NA	downregulation
ENSG00000152661	downregulation	NA	NA	NA	downregulation
ENSG00000152683	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000152684	variable	variable	cluster_1	downregulation	downregulation
ENSG00000152689	upregulation	NA	NA	NA	upregulation
ENSG00000152749	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152766	upregulation	NA	NA	NA	upregulation
ENSG00000152767	variable	variable	cluster_3	bending	bending
ENSG00000152778	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152782	variable	variable	cluster_1	downregulation	downregulation
ENSG00000152795	downregulation	NA	NA	NA	downregulation
ENSG00000152894	variable	variable	cluster_3	bending	bending
ENSG00000152926	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152942	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152944	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000152953	variable	variable	cluster_1	downregulation	downregulation
ENSG00000152969	downregulation	NA	NA	NA	downregulation
ENSG00000152990	downregulation	NA	NA	NA	downregulation
ENSG00000153015	downregulation	NA	NA	NA	downregulation
ENSG00000153029	variable	variable	cluster_2	upregulation	upregulation
ENSG00000153044	downregulation	NA	NA	NA	downregulation
ENSG00000153046	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000153048	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153066	high_expression	flat	cluster_3	bending	bending
ENSG00000153071	upregulation	NA	NA	NA	upregulation
ENSG00000153094	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153107	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153113	variable	variable	cluster_2	upregulation	upregulation
ENSG00000153147	downregulation	NA	NA	NA	downregulation
ENSG00000153179	upregulation	NA	NA	NA	upregulation
ENSG00000153187	downregulation	NA	NA	NA	downregulation
ENSG00000153207	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153208	upregulation	NA	NA	NA	upregulation
ENSG00000153214	peaking	H072	NA	NA	peaking
ENSG00000153234	variable	variable	cluster_3	bending	bending
ENSG00000153250	upregulation	NA	NA	NA	upregulation
ENSG00000153283	downregulation	NA	NA	NA	downregulation
ENSG00000153310	upregulation	NA	NA	NA	upregulation
ENSG00000153391	peaking	H012	NA	NA	peaking
ENSG00000153395	high_expression	flat	cluster_3	bending	bending
ENSG00000153404	downregulation	NA	NA	NA	downregulation
ENSG00000153485	variable	variable	cluster_3	bending	bending
ENSG00000153531	variable	variable	cluster_3	bending	bending
ENSG00000153560	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153561	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153574	downregulation	NA	NA	NA	downregulation
ENSG00000153721	peaking	H006	NA	NA	peaking
ENSG00000153767	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000153774	variable	variable	cluster_3	bending	bending
ENSG00000153786	upregulation	NA	NA	NA	upregulation
ENSG00000153814	variable	variable	cluster_2	upregulation	upregulation
ENSG00000153822	downregulation	NA	NA	NA	downregulation
ENSG00000153827	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000153879	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153885	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153914	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153922	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153933	variable	variable	cluster_1	downregulation	downregulation
ENSG00000153936	upregulation	NA	NA	NA	upregulation
ENSG00000153944	downregulation	NA	NA	NA	downregulation
ENSG00000153982	variable	variable	cluster_3	bending	bending
ENSG00000153989	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000154001	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000154016	variable	variable	cluster_1	downregulation	downregulation
ENSG00000154079	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000154102	variable	variable	cluster_1	downregulation	downregulation
ENSG00000154114	variable	variable	cluster_3	bending	bending
ENSG00000154122	variable	variable	cluster_2	upregulation	upregulation
ENSG00000154124	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000154127	downregulation	NA	NA	NA	downregulation
ENSG00000154134	bending	H009	NA	NA	bending
ENSG00000154144	high_expression	flat	cluster_3	bending	bending
ENSG00000154146	peaking	H072	NA	NA	peaking
ENSG00000154153	variable	variable	cluster_1	downregulation	downregulation
ENSG00000154174	downregulation	NA	NA	NA	downregulation
ENSG00000154222	variable	variable	cluster_3	bending	bending
ENSG00000154229	upregulation	NA	NA	NA	upregulation
ENSG00000154262	upregulation	NA	NA	NA	upregulation
ENSG00000154277	peaking	H009	NA	NA	peaking
ENSG00000154305	high_expression	flat	cluster_3	bending	bending
ENSG00000154310	bending	H036	NA	NA	bending
ENSG00000154358	variable	variable	cluster_1	downregulation	downregulation
ENSG00000154359	variable	variable	cluster_1	downregulation	downregulation
ENSG00000154380	downregulation	NA	NA	NA	downregulation
ENSG00000154429	variable	variable	cluster_3	bending	bending
ENSG00000154447	peaking	H006	NA	NA	peaking
ENSG00000154473	downregulation	NA	NA	NA	downregulation
ENSG00000154518	variable	variable	cluster_1	downregulation	downregulation
ENSG00000154545	downregulation	NA	NA	NA	downregulation
ENSG00000154582	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000154589	upregulation	NA	NA	NA	upregulation
ENSG00000154640	peaking	H003	NA	NA	peaking
ENSG00000154642	variable	variable	cluster_1	downregulation	downregulation
ENSG00000154719	downregulation	NA	NA	NA	downregulation
ENSG00000154721	downregulation	NA	NA	NA	downregulation
ENSG00000154723	variable	variable	cluster_1	downregulation	downregulation
ENSG00000154727	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000154743	downregulation	NA	NA	NA	downregulation
ENSG00000154803	upregulation	NA	NA	NA	upregulation
ENSG00000154814	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000154832	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000154839	downregulation	NA	NA	NA	downregulation
ENSG00000154845	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000154920	downregulation	NA	NA	NA	downregulation
ENSG00000154945	variable	variable	cluster_1	downregulation	downregulation
ENSG00000154957	moderate_expression	flat	cluster_3	bending	bending
ENSG00000154978	high_expression	flat	cluster_3	bending	bending
ENSG00000155097	upregulation	NA	NA	NA	upregulation
ENSG00000155099	upregulation	NA	NA	NA	upregulation
ENSG00000155115	variable	variable	cluster_1	downregulation	downregulation
ENSG00000155189	downregulation	NA	NA	NA	downregulation
ENSG00000155252	upregulation	NA	NA	NA	upregulation
ENSG00000155254	variable	variable	cluster_2	upregulation	upregulation
ENSG00000155256	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000155275	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000155307	upregulation	NA	NA	NA	upregulation
ENSG00000155313	high_expression	flat	cluster_3	bending	bending
ENSG00000155329	variable	variable	cluster_1	downregulation	downregulation
ENSG00000155363	variable	variable	cluster_1	downregulation	downregulation
ENSG00000155366	bending	H009	NA	NA	bending
ENSG00000155368	variable	variable	cluster_2	upregulation	upregulation
ENSG00000155380	variable	variable	cluster_1	downregulation	downregulation
ENSG00000155393	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000155438	downregulation	NA	NA	NA	downregulation
ENSG00000155463	high_expression	flat	cluster_3	bending	bending
ENSG00000155465	upregulation	NA	NA	NA	upregulation
ENSG00000155506	variable	variable	cluster_1	downregulation	downregulation
ENSG00000155545	variable	variable	cluster_1	downregulation	downregulation
ENSG00000155561	downregulation	NA	NA	NA	downregulation
ENSG00000155621	moderate_expression	flat	cluster_3	bending	bending
ENSG00000155629	variable	variable	cluster_3	bending	bending
ENSG00000155659	upregulation	NA	NA	NA	upregulation
ENSG00000155666	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000155729	moderate_expression	flat	cluster_3	bending	bending
ENSG00000155755	downregulation	NA	NA	NA	downregulation
ENSG00000155846	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000155849	variable	variable	cluster_1	downregulation	downregulation
ENSG00000155876	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000155893	variable	variable	cluster_1	downregulation	downregulation
ENSG00000155903	upregulation	NA	NA	NA	upregulation
ENSG00000155906	upregulation	NA	NA	NA	upregulation
ENSG00000155926	upregulation	NA	NA	NA	upregulation
ENSG00000155957	upregulation	NA	NA	NA	upregulation
ENSG00000155959	downregulation	NA	NA	NA	downregulation
ENSG00000155961	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000155962	variable	variable	cluster_3	bending	bending
ENSG00000155966	downregulation	NA	NA	NA	downregulation
ENSG00000155974	variable	variable	cluster_1	downregulation	downregulation
ENSG00000155975	variable	variable	cluster_3	bending	bending
ENSG00000156017	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156026	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000156030	peaking	H003	NA	NA	peaking
ENSG00000156042	variable	variable	cluster_2	upregulation	upregulation
ENSG00000156052	upregulation	NA	NA	NA	upregulation
ENSG00000156110	peaking	H048	NA	NA	peaking
ENSG00000156113	variable	variable	cluster_3	bending	bending
ENSG00000156127	upregulation	NA	NA	NA	upregulation
ENSG00000156170	downregulation	NA	NA	NA	downregulation
ENSG00000156171	bending	H006	NA	NA	bending
ENSG00000156232	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000156234	upregulation	NA	NA	NA	upregulation
ENSG00000156253	variable	variable	cluster_2	upregulation	upregulation
ENSG00000156256	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156261	downregulation	NA	NA	NA	downregulation
ENSG00000156265	variable	variable	cluster_3	bending	bending
ENSG00000156273	variable	variable	cluster_3	bending	bending
ENSG00000156304	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156313	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156374	downregulation	NA	NA	NA	downregulation
ENSG00000156398	downregulation	NA	NA	NA	downregulation
ENSG00000156411	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000156414	peaking	H048	NA	NA	peaking
ENSG00000156469	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156471	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156482	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000156500	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156502	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156504	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156508	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156515	variable	variable	cluster_2	upregulation	upregulation
ENSG00000156521	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156531	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156587	variable	variable	cluster_3	bending	bending
ENSG00000156599	high_expression	flat	cluster_3	bending	bending
ENSG00000156639	variable	variable	cluster_3	bending	bending
ENSG00000156642	upregulation	NA	NA	NA	upregulation
ENSG00000156650	downregulation	NA	NA	NA	downregulation
ENSG00000156671	moderate_expression	flat	cluster_3	bending	bending
ENSG00000156675	upregulation	NA	NA	NA	upregulation
ENSG00000156697	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156709	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000156711	bending	H018	NA	NA	bending
ENSG00000156735	variable	variable	cluster_2	upregulation	upregulation
ENSG00000156738	downregulation	NA	NA	NA	downregulation
ENSG00000156787	downregulation	NA	NA	NA	downregulation
ENSG00000156795	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156802	downregulation	NA	NA	NA	downregulation
ENSG00000156804	variable	variable	cluster_3	bending	bending
ENSG00000156831	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000156853	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156858	upregulation	NA	NA	NA	upregulation
ENSG00000156876	downregulation	NA	NA	NA	downregulation
ENSG00000156928	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156931	variable	variable	cluster_3	bending	bending
ENSG00000156958	variable	variable	cluster_2	upregulation	upregulation
ENSG00000156970	downregulation	NA	NA	NA	downregulation
ENSG00000156973	high_expression	flat	cluster_3	bending	bending
ENSG00000156976	variable	variable	cluster_1	downregulation	downregulation
ENSG00000156983	variable	variable	cluster_1	downregulation	downregulation
ENSG00000157014	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000157017	peaking	H018	NA	NA	peaking
ENSG00000157020	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000157036	variable	variable	cluster_1	downregulation	downregulation
ENSG00000157045	upregulation	NA	NA	NA	upregulation
ENSG00000157077	variable	variable	cluster_1	downregulation	downregulation
ENSG00000157087	downregulation	NA	NA	NA	downregulation
ENSG00000157107	upregulation	NA	NA	NA	upregulation
ENSG00000157168	upregulation	NA	NA	NA	upregulation
ENSG00000157184	variable	variable	cluster_2	upregulation	upregulation
ENSG00000157191	upregulation	NA	NA	NA	upregulation
ENSG00000157193	downregulation	NA	NA	NA	downregulation
ENSG00000157212	downregulation	NA	NA	NA	downregulation
ENSG00000157227	upregulation	NA	NA	NA	upregulation
ENSG00000157240	variable	variable	cluster_3	bending	bending
ENSG00000157259	variable	variable	cluster_3	bending	bending
ENSG00000157353	variable	variable	cluster_3	bending	bending
ENSG00000157379	variable	variable	cluster_2	upregulation	upregulation
ENSG00000157426	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000157450	high_expression	flat	cluster_3	bending	bending
ENSG00000157456	downregulation	NA	NA	NA	downregulation
ENSG00000157483	upregulation	NA	NA	NA	upregulation
