class	time_point	hc	class2	final_class
ENSG00000030066	downregulation	NA	NA	NA	downregulation
ENSG00000030110	variable	variable	cluster_2	upregulation	upregulation
ENSG00000030582	upregulation	NA	NA	NA	upregulation
ENSG00000031081	variable	variable	cluster_2	upregulation	upregulation
ENSG00000031691	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000031823	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000032219	variable	variable	cluster_3	bending	bending
ENSG00000032389	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000032444	variable	variable	cluster_2	upregulation	upregulation
ENSG00000033030	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000033050	peaking	H006	NA	NA	peaking
ENSG00000033170	variable	variable	cluster_1	downregulation	downregulation
ENSG00000033178	variable	variable	cluster_3	bending	bending
ENSG00000033627	upregulation	NA	NA	NA	upregulation
ENSG00000033867	variable	variable	cluster_3	bending	bending
ENSG00000034053	downregulation	NA	NA	NA	downregulation
ENSG00000034152	downregulation	NA	NA	NA	downregulation
ENSG00000034510	variable	variable	cluster_2	upregulation	upregulation
ENSG00000034677	variable	variable	cluster_2	upregulation	upregulation
ENSG00000034693	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000034713	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000035115	variable	variable	cluster_3	bending	bending
ENSG00000035141	downregulation	NA	NA	NA	downregulation
ENSG00000035403	downregulation	NA	NA	NA	downregulation
ENSG00000035499	downregulation	NA	NA	NA	downregulation
ENSG00000035687	variable	variable	cluster_1	downregulation	downregulation
ENSG00000035862	bending	H006	NA	NA	bending
ENSG00000035928	downregulation	NA	NA	NA	downregulation
ENSG00000036054	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000036257	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000036448	variable	variable	cluster_1	downregulation	downregulation
ENSG00000036549	variable	variable	cluster_1	downregulation	downregulation
ENSG00000037042	variable	variable	cluster_2	upregulation	upregulation
ENSG00000037241	variable	variable	cluster_1	downregulation	downregulation
ENSG00000037474	variable	variable	cluster_1	downregulation	downregulation
ENSG00000037637	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000037749	variable	variable	cluster_3	bending	bending
ENSG00000037897	peaking	H006	NA	NA	peaking
ENSG00000038002	upregulation	NA	NA	NA	upregulation
ENSG00000038358	variable	variable	cluster_1	downregulation	downregulation
ENSG00000038382	variable	variable	cluster_1	downregulation	downregulation
ENSG00000038945	upregulation	NA	NA	NA	upregulation
ENSG00000039123	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000039319	upregulation	NA	NA	NA	upregulation
ENSG00000039523	variable	variable	cluster_2	upregulation	upregulation
ENSG00000039560	peaking	H006	NA	NA	peaking
ENSG00000039650	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000040199	variable	variable	cluster_1	downregulation	downregulation
ENSG00000040275	downregulation	NA	NA	NA	downregulation
ENSG00000040487	upregulation	NA	NA	NA	upregulation
ENSG00000040608	variable	variable	cluster_3	bending	bending
ENSG00000040933	variable	variable	cluster_3	bending	bending
