H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000006530	1.45	0.38	2.02	2.37	2.32	2.29	0.66	0.3	0.28	0.24	0.89	0.51
ENSG00000006534	0.31	0.28	0.36	0.41	2.92	3.45	3.53	4.08	3.41	3.17	2.79	4.48
ENSG00000006576	3.42	2.21	1.89	0.39	0.37	0.5	2.84	0.32	0.26	1.74	4.62	4.28
ENSG00000006607	6.43	7.42	6.95	8.06	6.76	7.01	6.87	9.42	8.37	9.06	7.42	6.99
ENSG00000006625	1.82	0.91	2.57	3.02	3.18	3.14	1.37	2.76	2.63	2.64	3.36	2.21
ENSG00000006634	2.49	4.24	5.11	6.15	5.13	5.36	5.36	3.14	3.69	2.71	1.73	1.72
ENSG00000006695	5.35	7.17	5.57	4.97	6.43	5.63	8.94	7.14	5.92	4.96	5.4	4.87
ENSG00000006704	7.16	5.71	5.32	5.09	5.64	5.45	6	6.54	4.46	3.74	5.36	6.25
ENSG00000006712	1.99	2.29	1.7	2.53	3.97	4.47	3.39	4.21	2.7	3.62	3.05	1.64
ENSG00000006715	4.25	0.43	1.34	0.37	0.42	2.35	3.77	3.2	2.94	4.22	7.17	10.82
ENSG00000006744	3.59	4.42	5.53	3.64	5.87	6.59	9.73	6.31	5.83	5.29	7.75	5.61
ENSG00000006831	7.74	8.16	10.2	7.98	8.31	8.54	9.73	12.29	7.21	5.88	7.48	6.14
ENSG00000007038	1.08	0.61	0.56	0.68	0.94	0.88	0.51	0.45	0.56	0.38	0.22	0.2
ENSG00000007047	9.64	8.11	11.82	14.11	13.51	13.06	12.73	15.38	13.35	12.96	11.67	12.9
ENSG00000007168	18.12	15.5	16.94	18.88	18.21	19.47	16.31	23.39	15.62	20.33	25.39	27.17
ENSG00000007376	8	6.59	12.45	12.24	11.62	11.03	8.14	7.24	14.33	8.41	4.79	2.82
ENSG00000007392	11.05	12.33	15.9	19.49	16.86	13.78	20.61	10.54	12.02	8.69	12.36	8.53
ENSG00000007545	7.33	7.33	9.28	10.26	6.36	7.71	6.56	7.67	7.61	6.25	5	6.36
ENSG00000007923	4.97	6.27	8.22	8.45	9.17	7.85	7.1	6.37	7.45	6.31	5.87	5.48
ENSG00000007944	13.61	10.44	11.04	7.43	10.6	10.37	12.57	11.8	14.62	20.05	27.82	28.3
ENSG00000007968	4.33	6.49	6.09	7.59	6.04	8.38	6.6	9.45	3.8	1.81	0.24	0.13
ENSG00000008018	10.92	7.64	8.48	9.12	9.93	11.49	7.7	6.71	8.43	8	12.09	11.09
ENSG00000008083	18.67	14.61	7.99	6.76	10.64	11.58	15.65	15.9	12.38	15.24	14.27	12.64
ENSG00000008128	0.21	0.23	2.37	1.95	3.37	2.62	2.75	0.22	0.31	0.31	0.23	0.17
ENSG00000008130	10.82	8.11	9.99	11.21	12.65	10.76	13.1	16.23	13.33	16.45	24.37	31.66
ENSG00000008282	5.51	4.5	5.43	3.13	4.51	4.25	5.86	9.25	5.94	6.09	6.94	6.1
ENSG00000008283	1.26	0.64	0.54	0.51	0.49	0.43	0.39	0.37	0.37	0.38	0.3	0.4
ENSG00000008294	11.07	11.43	8.54	9.79	8.95	10.46	15.22	7.74	11.52	9.18	9.51	8.4
ENSG00000008311	3.81	0.44	3.62	2.84	2.96	2.79	3.64	2.52	1.66	0.22	0.68	1.39
ENSG00000008324	0.5	0.54	2.05	2.83	2.98	3.75	3.17	0.38	2.69	1.91	3.4	1.08
ENSG00000008405	3.56	4.43	3.92	4.51	3.59	4.77	2.97	0.22	2.6	3.84	0.78	0.82
ENSG00000008441	12.89	12.8	13.67	12.38	9.35	8.34	7.48	7.83	9.09	6.91	3.75	2.33
ENSG00000008513	4.21	8.51	13.02	16.54	14.48	15.47	17.07	10.95	12.69	23.89	63.9	74.81
ENSG00000008838	0.38	2.68	2.81	0.44	0.49	0.64	0.62	1.84	4.29	1.54	0.67	0.63
ENSG00000008853	6.97	6.84	6.86	5.11	6.6	4.3	5	5.17	6.76	6.56	8.9	3.68
ENSG00000008869	1.98	0.37	0.29	0.35	0.3	0.44	0.54	0.29	0.31	0.29	1.68	4.11
ENSG00000009413	3.64	6.26	3.41	3.62	5.47	4.85	5.83	5.07	3.66	2.66	5.09	5.39
ENSG00000009790	0.24	0.18	0.13	0.19	0.18	0.44	3.91	2.92	3.7	2.01	3.06	1.17
ENSG00000009844	6.05	5.58	5.02	4.9	7.11	6.85	5.88	5.27	5.98	4.78	9.22	8.06
ENSG00000009954	12.58	12.08	12.61	14.56	14.94	14.63	14.06	11.62	9.02	4.85	7.84	7.39
ENSG00000010017	6.62	8.79	10.22	7	7.81	8.14	7.71	6.12	5.99	10.98	15.13	12.13
ENSG00000010165	3.13	2.26	4.37	4.29	4.29	3.65	4.35	3.1	3.29	1.94	1.28	3.91
ENSG00000010219	0.24	0.27	0.26	0.21	0.26	0.24	0.23	0.31	2.18	4.93	4.34	0.33
ENSG00000010244	23.09	32.23	24.59	27.04	25.22	28.09	30.05	22.39	26.86	29.45	38.14	31.17
ENSG00000010256	2.55	5.56	3.31	5.93	5.57	4.33	5.88	4.91	7.91	5.74	5.78	5.4
ENSG00000010270	2.47	3.38	2.84	2.84	3.26	3.77	4.61	4.8	2.19	4.74	6.73	5.49
ENSG00000010278	7.74	3.98	4.76	3.45	3.55	3.97	3.91	6.32	3.9	5.94	18.74	32.22
ENSG00000010292	2.7	2.69	1.93	3.24	3.42	5.65	2.9	4.5	3.23	2.42	0.72	0.41
ENSG00000010295	8.66	7.95	8.88	10.7	10.29	8.89	13.83	7.02	16.28	17.04	10.36	7.51
ENSG00000010322	4.9	5.39	4.05	4.01	3.88	3.86	3.69	4.68	4.03	4.83	6.52	6.43
ENSG00000010327	2.67	0.37	1.57	2.7	3.06	5.12	5.39	10.85	15.09	18.8	15.37	8.92
ENSG00000010361	0.23	0.19	0.26	0.34	0.32	0.36	0.35	0.23	1.63	1.58	0.21	0.21
ENSG00000010539	0.31	0.26	0.19	0.22	0.32	0.1	0.16	0.13	0.12	0.17	0.35	0.33
ENSG00000010610	7.6	8.58	8.53	7.05	7.23	4.81	0.69	3.31	0.3	0.28	0.42	1.32
ENSG00000010803	8.61	5.2	4.37	4.59	3.73	3.38	4.02	3.82	3.41	2.68	3.52	0.83
ENSG00000010810	8.83	7.19	6.77	5.66	6.68	8.01	6.17	6.21	6.33	5.54	6.9	3.17
ENSG00000010818	7.09	5.98	4.46	4.71	3.85	3.75	3.19	2.97	0.21	3.34	5.26	5.11
ENSG00000011028	3.42	3.09	4.19	3.12	4.5	4.06	8.69	10.82	16.21	10.35	10.63	12.17
ENSG00000011052	4.04	5.78	8.08	8.79	9.33	6.17	5.73	4.97	5.22	4.56	3.91	4.62
ENSG00000011105	8.8	7.97	5.86	5.31	7.24	4.99	7.48	10.21	9.9	13.02	6.84	4.38
ENSG00000011258	6.3	6.75	5.24	5.25	6.33	4.67	6.6	3.56	2.29	1.32	5.57	7.32
ENSG00000011260	6.39	17.14	14.48	8.1	8.78	9.15	5.99	8.21	8.41	5	5.89	7
ENSG00000011275	8.49	10.64	6.88	7.94	9.75	6.5	5.9	9.5	5.19	5.6	7.02	7.49
ENSG00000011295	4.17	3.62	4.88	5.01	5.89	4.37	5.02	4.76	4.45	4.12	4.49	4.63
ENSG00000011304	59.63	61.33	64.56	61.15	64.34	55.51	53.62	60.74	65.27	59.23	42.39	48.76
ENSG00000011376	9.98	7.93	9.46	5.69	11.3	8.57	7.12	5.95	4.75	3.23	2.71	0.51
ENSG00000011405	3.57	4.2	4.06	3.44	3.49	4.06	4.96	4.12	3.75	6.39	6.95	5.59
ENSG00000011426	1.92	2.89	2.62	4.43	5.22	6.32	1.51	5.6	3.88	2.16	0.35	0.36
ENSG00000011451	7.7	8.48	13.35	13.47	7.72	6.17	5.37	5.25	6.86	4.88	5.21	1.19
ENSG00000011478	0.51	0.55	1.63	3.58	0.94	3.6	1.2	0.82	1.4	1.6	1.28	1.39
ENSG00000011485	6.63	8.85	8.49	10.05	12.66	12.04	15.11	9.34	9.36	11.02	6.85	5.43
ENSG00000011523	7.25	3.89	3.99	4.74	4.11	7.17	5.66	6.29	5.9	7.36	11.02	18.2
ENSG00000011566	3.52	5.06	3.99	3.49	4.77	4.35	4.81	2.24	1.77	2.06	5.42	6.02
ENSG00000011600	0.2	0.25	0.31	0.13	0.09	0.07	0.07	0.06	0.05	0.15	0.37	0.52
ENSG00000011638	1.05	0.77	1.05	1.89	0.63	0.58	0.92	0.45	1.8	2.14	3.85	3.94
ENSG00000012048	1.09	0.31	0.3	0.33	0.38	0.41	0.43	0.39	1.66	2.39	0.44	4.08
ENSG00000012061	10.14	10.11	5.24	5.39	5.32	6.89	6.85	6.31	4.79	7.12	5.28	4.99
ENSG00000012174	0.32	0.32	0.28	0.28	0.32	0.41	0.45	0.28	0.28	0.22	0.61	0.94
ENSG00000012211	1.31	3.15	3.63	3.01	4.72	4.17	4.21	3.38	5.41	7.37	2.94	4.35
ENSG00000012232	10.05	5.9	4.75	6.54	6.32	6.5	5.74	6.45	6.13	5.25	4.44	5.36
ENSG00000012660	10.33	9.24	14.29	10.11	10.6	11.71	8.89	8.75	10.66	7.02	6.08	5.18
ENSG00000012779	1.83	0.32	4.84	5.37	7.33	7.16	7.7	8.28	6.55	4.77	3.73	4.19
ENSG00000012822	1.6	2.88	0.51	0.6	0.88	0.47	0.75	0.71	2.59	4.04	3.94	4.84
ENSG00000012963	2.94	2.79	3.6	2.36	2.03	2.96	2.69	6.73	0.49	0.45	0.67	0.77
ENSG00000012983	6.25	9.24	4.92	7.43	4.95	6.89	4.58	4.72	4.65	5.81	5.55	5.21
ENSG00000013275	3.86	3.57	4.36	5.73	3.55	3.15	4.11	3.06	3.02	4.86	7.44	1.68
ENSG00000013288	1.3	0.39	1.65	0.65	2.36	0.65	3.27	2.68	2.52	1.95	2.83	1.01
ENSG00000013306	3.34	5.54	4.02	4.94	4.44	3.01	3.21	3.01	4.99	3.11	3.38	3.24
ENSG00000013364	4.67	2.59	1.86	4.25	2.9	6.5	3.47	3.94	4.18	9.15	10.12	9.65
ENSG00000013503	0.28	0.3	1.61	2.25	0.29	0.31	0.4	0.27	0.26	0.24	0.65	0.34
ENSG00000013523	2.6	0.43	2.75	1.38	2.05	2.29	2.69	0.34	2.6	1.47	0.83	4.32
ENSG00000013561	1.54	2.59	1.59	2.4	2.99	2.44	3.28	0.41	1.99	2.64	4.47	5.67
ENSG00000013563	3.98	4.24	5.24	5.59	4.19	5.92	6.9	4.26	6.84	9.69	5.84	5.1
ENSG00000013573	2.64	0.62	2.85	1.52	0.85	2.38	1.09	3.29	2.4	1.17	0.22	0.2
ENSG00000013583	0.42	0.34	0.27	0.27	0.47	0.29	0.43	0.27	0.24	0.31	1.61	4.59
ENSG00000013810	8.33	8.88	10.13	9.86	10.01	12.61	11.81	10.52	13.29	6.56	4.77	5.19
ENSG00000014123	0.36	0.34	0.25	0.26	0.27	0.43	0.47	0.33	0.3	0.21	4.29	6.71
ENSG00000014138	1.19	0.23	0.28	0.34	0.37	2.11	0.5	0.27	1.41	0.24	0.2	0.26
ENSG00000014216	2.74	3.22	2.48	2.8	4.63	1.04	4.73	5.41	3.97	6.28	5.17	3.89
ENSG00000014257	0.2	0.17	0.18	0.16	0.21	0.16	0.16	0.16	0.2	2.48	6.13	5.57
ENSG00000014914	0.11	0.14	0.13	0.1	0.11	0.1	0.15	0.08	0.05	0.11	0.08	0.08
ENSG00000014919	0.38	0.4	0.28	0.3	0.29	0.42	0.82	0.41	0.34	0.36	1.51	1.04
ENSG00000015133	19.23	14.99	13.29	9.24	15.87	9.99	12.56	12.65	8.76	7.92	6.38	6.39
ENSG00000015153	4.31	4.95	3.89	4.47	4.21	4.12	3.28	6.55	3.37	4.03	4.26	4.81
ENSG00000015285	1.71	0.76	0.66	0.76	0.83	0.94	3.19	3.67	2.56	3.3	3.08	5.65
ENSG00000015413	3.18	3.51	3.19	3.16	3.31	0.49	0.47	0.42	2.18	4.24	0.22	0.2
ENSG00000015475	6.78	6.49	8.39	6.81	9.35	13.22	12.37	14.84	13.21	15.25	17.65	11.93
ENSG00000015479	29.12	37.03	29.59	32.33	24.53	35.23	34.7	28.01	25.62	19.81	28.98	27.88
ENSG00000017260	6.06	4.23	5.52	3.76	4.91	3.99	4.96	3.63	4.49	4.39	5.99	6.97
ENSG00000017483	1.99	1.07	1.76	2.2	2.72	2.18	1.46	1.19	1.59	0.57	0.26	0.17
ENSG00000018189	0.41	3.54	2.7	2.79	0.41	0.4	0.43	0.28	0.29	0.33	7.63	6.34
ENSG00000018280	0.12	0.12	0.13	0.14	0.12	0.1	0.1	0.06	0.06	0.13	0.06	0.09
ENSG00000018510	1.87	2.16	1.62	1.9	3.41	5.52	4.22	3.74	3.13	5.44	6.44	6.03
ENSG00000018610	0.53	2.2	1.22	2.87	1.02	0.82	0.92	1.85	0.49	0.4	1.44	9.58
ENSG00000018699	0.37	0.38	0.39	0.44	0.42	0.49	2.48	3.05	0.27	0.23	0.71	0.44
ENSG00000019144	6.53	6.13	3.78	3.11	4.82	3.3	5.19	3.66	3.77	2.91	3.04	0.35
ENSG00000019169	0.26	0.29	0.27	0.25	0.29	0.19	0.2	0.2	0.21	1.16	5.14	7.49
ENSG00000019582	24.55	10.32	9.94	6.65	6.73	12.15	14.31	15.18	18.84	7.17	5.62	7.85
ENSG00000019991	0.16	0.17	0.17	0.23	0.33	2.73	6.12	3.98	3.54	0.33	3.54	6.46
ENSG00000019995	8.29	7.76	8.13	8.73	7.1	7.3	9.87	6.02	6.69	8.74	15.17	11.32
ENSG00000020256	2.47	0.31	0.3	5.59	0.35	3.61	0.43	2.22	1.4	1.43	0.35	0.33
ENSG00000020426	7.34	6.26	5.19	6.62	9.15	9.32	7.66	11.66	10.22	8.06	7.77	8.39
ENSG00000020577	7.09	8.64	9.38	6.95	5.21	4.28	3.9	0.23	4.35	6.84	7.11	11.23
ENSG00000020922	1.1	0.43	1.45	0.35	0.37	0.42	0.53	0.28	1.11	0.22	1.17	3.96
ENSG00000021300	0.25	0.19	0.31	0.28	0.31	0.24	0.21	0.54	0.32	0.32	0.15	0.18
ENSG00000021355	3.11	0.45	2.86	2.86	0.73	0.78	3.08	2.83	4.46	10.26	9.8	7.89
ENSG00000021574	2.95	0.6	3.44	3.5	3.43	3.12	3.81	2.93	1.78	2.83	4.45	5.82
ENSG00000021776	3.72	4.79	5.61	7.68	7.03	6.14	4.58	6.79	4.18	4.06	4.13	5.24
ENSG00000022267	3.65	6.23	3.37	3.75	3.47	3.41	2.8	4.49	2.87	2.86	0.82	0.57
ENSG00000022277	4.11	3.17	3.56	4.64	4.31	4.52	4.69	5.49	3.71	6.12	5.15	12.64
ENSG00000022567	8.44	7.48	8.76	9.04	8.98	8.3	7.31	8.82	12.38	10.22	10.09	13.18
ENSG00000022976	0.48	0.4	1.78	0.59	3.36	2.48	3.65	3.19	3.35	0.52	0.64	0.53
ENSG00000023171	6.9	6.05	4.91	3.77	5.91	5.12	10.43	11.98	5.14	4	0.52	4.86
ENSG00000023191	12.23	16.56	11.77	11.91	13.5	12.11	11.12	11.52	8.07	5.34	6.86	9.66
ENSG00000023287	11.32	9.22	6.68	6.2	7.43	8.39	9.73	5.55	7.39	5.91	10.02	12.08
ENSG00000023318	5.24	5.89	4.51	5.64	6.12	9.25	9.24	7.7	9.31	8.93	18.55	15.32
ENSG00000023330	2.05	0.75	2.74	4.36	1.76	3.92	3.73	2.77	2.91	4.69	6.26	7.98
ENSG00000023516	2.99	3.36	2.94	3.05	4.57	6.07	3.97	2.98	2.51	1.34	4.88	5.22
ENSG00000023608	2.99	2.02	2.09	2.17	1.03	1.81	3.94	0.36	0.3	0.28	1.73	0.91
ENSG00000023734	6.95	9.64	8.31	9.41	8.42	8.04	8.12	6.3	5.44	4.11	7.19	5.13
ENSG00000023892	3.01	0.77	0.32	0.35	0.4	0.3	0.85	0.47	2.12	2.67	0.92	1.09
ENSG00000023902	2.76	0.66	2.42	2.15	4.94	3.26	3.92	3.1	2.65	3.02	5.74	5.86
ENSG00000024048	4.53	3.29	2.78	5	4.04	4.92	3.94	4.69	2.71	5.61	9.77	10.91
ENSG00000024526	0.36	0.44	0.26	0.28	0.33	0.44	0.5	0.22	0.29	0.21	0.25	0.78
ENSG00000024862	0.39	0.33	0.22	0.28	0.29	0.36	0.33	0.23	0.23	0.22	0.96	1.31
ENSG00000025039	3.46	4.98	3.03	2.31	0.18	0.36	0.41	0.18	0.16	2.31	6.52	8.15
ENSG00000025156	4.99	4.18	3.57	2.69	3.31	3.02	3.93	0.34	0.29	0.25	1.9	2.21
ENSG00000025293	5.87	5.64	3.88	4.1	4.98	6.96	6.06	6.13	4.56	5.6	8.05	9.18
