H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000011376	10.47	10.72	10.19	6.99	11.16	9.3	7.13	6.32	5	3.54	2.48	0.54
ENSG00000011405	3.94	4.5	4.36	3.56	3.46	4.17	4.9	4.26	4.07	6.59	6.7	5.21
ENSG00000011422	1.96	7.31	12.98	13.59	13.85	14.36	14	9.73	10.7	28.03	28.69	17.45
ENSG00000011426	2.11	3.3	2.9	4.63	5.34	6.48	1.26	5.86	4.16	2.26	0.3	0.98
ENSG00000011451	8.18	8.87	13.67	13.63	7.76	6.23	5.36	5.36	7.11	5.06	4.92	1.2
ENSG00000011454	4.26	6	5.39	4.92	3.92	4.65	5.57	3.69	3.79	4.07	5.7	6.75
ENSG00000011478	0.45	0.73	1.73	3.74	1.17	3.6	1.18	1.26	1.79	1.92	1.04	1.4
ENSG00000011485	7.11	9.19	8.74	10.17	12.56	12.12	14.99	9.4	9.57	11.09	6.57	5.13
ENSG00000011523	7.75	4.21	4.29	4.97	4.15	7.42	5.66	6.62	6.15	7.49	10.78	17.9
ENSG00000011566	3.91	5.4	4.29	3.57	4.7	4.33	4.8	2.4	2.11	2.24	5.15	5.71
ENSG00000011600	0.18	0.24	0.29	0.13	0.09	0.07	0.07	0.06	0.05	0.15	0.3	0.31
ENSG00000011638	0.95	1.17	0.98	1.9	0.79	0.67	0.85	0.62	2.18	2.49	3.57	3.63
ENSG00000012048	0.93	0.33	0.3	0.32	0.42	0.43	0.42	0.47	2.02	2.68	0.35	3.81
ENSG00000012061	10.69	10.48	5.53	5.5	5.33	7.11	6.9	6.5	5.04	7.27	5.01	4.76
ENSG00000012124	6.44	5.22	2.45	1.97	0.71	0.33	0.3	3.43	0.34	0.31	0.19	0.26
ENSG00000012174	0.28	0.32	0.28	0.26	0.31	0.38	0.35	0.32	0.32	0.22	0.44	1.48
ENSG00000012211	1.37	3.52	3.91	3.11	4.84	4.29	4.14	3.6	5.66	7.52	2.61	4.01
ENSG00000012232	10.61	6.26	5.04	6.78	6.34	6.76	5.78	6.78	6.38	5.44	4.15	5.05
ENSG00000012660	10.88	9.57	14.32	10.37	10.66	11.96	8.95	8.93	10.81	7.2	5.8	4.82
ENSG00000012779	1.76	0.32	5.08	5.57	7.34	7.39	7.77	8.59	6.86	4.95	3.42	3.89
ENSG00000012822	1.53	3.36	0.49	0.56	1.02	0.47	0.74	1.16	2.86	4.29	3.72	4.56
ENSG00000012963	3.33	3.11	3.79	2.39	2.1	3	2.48	7.25	0.61	0.53	0.47	0.72
ENSG00000012983	6.69	9.66	5.21	7.65	4.96	7.07	4.48	4.84	4.92	5.99	5.27	4.89
ENSG00000013016	0.38	0.32	0.35	1.87	3.26	3.09	4.98	3.14	2.26	0.45	0.34	0.39
ENSG00000013275	4.27	3.87	4.67	5.96	3.6	2.84	4.2	3.16	3.42	5.05	7.18	2.34
ENSG00000013288	1.14	0.41	1.77	0.57	2.36	0.7	3	2.82	2.9	2.29	2.47	0.92
ENSG00000013293	0.22	3.57	0.21	0.22	0.24	0.26	0.23	0.28	0.28	0.23	0.21	0.36
ENSG00000013306	3.67	5.88	4.32	5.12	4.36	2.94	3.07	3.19	5.33	3.42	3.02	3.11
ENSG00000013364	5.07	2.8	2.04	4.45	2.85	6.76	3.28	4.25	4.46	9.28	9.83	9.27
ENSG00000013374	3.47	2.6	2.3	2.08	1.24	0.81	3.16	2.91	5.16	4.17	3.13	3.6
ENSG00000013375	0.27	0.27	0.25	0.27	0.21	0.21	0.21	0.17	0.16	0.19	0.34	0.35
ENSG00000013441	11.56	14.57	7.46	8.84	9.07	11.06	9.19	5.96	6.91	12.78	23.17	25.41
ENSG00000013503	0.24	0.32	1.82	2.15	0.29	0.3	0.35	0.32	0.28	0.25	0.45	0.66
ENSG00000013523	2.96	0.42	2.06	1.2	0.39	0.49	2.41	0.35	2.97	1.63	0.58	3.97
ENSG00000013561	1.49	3	1.57	2.42	3.02	2.35	3.05	0.51	2.35	3	4.19	5.36
ENSG00000013563	4.38	4.55	5.62	5.85	4.23	6.19	6.89	4.48	7.07	9.74	5.55	4.86
ENSG00000013573	2.92	0.89	3.1	1.36	0.96	2.3	0.96	3.47	2.77	1.4	0.2	0.17
ENSG00000013583	0.38	0.35	0.25	0.24	0.43	0.28	0.34	0.29	0.26	0.34	1.33	4.26
ENSG00000013810	6.02	7.83	8.44	7.55	7.89	10.34	8.99	8.25	8.18	5.03	0.7	0.26
ENSG00000014123	0.31	0.36	0.24	0.24	0.27	0.4	0.4	0.41	0.34	0.21	3.94	6.32
ENSG00000014138	1.07	0.23	0.27	0.31	0.45	2.04	0.39	0.3	1.62	0.25	0.19	0.23
ENSG00000014164	19.1	18.66	25.16	31.52	32.73	34.81	34.71	40.78	43.24	40.46	25.53	24.26
ENSG00000014216	3.1	3.46	2.5	2.89	4.66	1.13	4.71	5.79	4.26	6.42	4.89	3.62
ENSG00000014257	0.18	0.18	0.17	0.16	0.2	0.16	0.16	0.17	0.2	2.61	5.85	5.26
ENSG00000014641	2.88	4.99	3.61	3.41	4.11	3.66	4.18	2.57	3.4	3.11	4.69	5.11
ENSG00000014824	3.22	2.97	0.84	2.6	0.56	3.06	3.3	3.28	3.52	2.56	7.6	5.69
ENSG00000014914	0.1	0.14	0.12	0.1	0.12	0.1	0.14	0.09	0.05	0.1	0.07	0.08
