H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000006007	2.17	0.75	1.6	4.27	0.79	0.71	0.99	0.36	0.3	1.26	4.63	4.37
ENSG00000006015	2.73	0.86	1.44	2.01	3.9	0.94	1.72	2.78	1.56	2.67	4.6	4.35
ENSG00000006016	10.51	12.13	12.89	14.21	12.61	10.85	13.6	8.34	10.9	10.19	8.41	10.99
ENSG00000006025	1.73	2.5	4.78	3.22	1.5	1.28	3.39	2.48	4	2.85	0.8	0.95
ENSG00000006042	0.43	2.11	0.4	0.45	0.53	0.47	0.47	0.45	0.41	0.36	0.25	0.21
ENSG00000006047	0.51	0.62	0.52	0.53	0.76	0.63	0.62	0.93	2.35	1.32	0.23	0.13
ENSG00000006059	0.26	0.14	0.19	0.24	0.37	0.34	0.17	0.18	0.21	0.21	0.15	0.15
ENSG00000006062	5.27	4.57	5.64	6.21	6.14	5.4	7.39	6.68	8.62	9.83	5.22	4.16
ENSG00000006071	2.11	2.87	0.21	0.21	2.41	0.15	0.15	0.27	2.08	0.34	0.14	0.17
ENSG00000006116	2.61	0.31	0.27	0.28	0.27	0.26	0.22	0.28	0.25	0.24	0.17	0.18
ENSG00000006118	3.37	3.36	3.44	1.91	3.6	3.43	3.23	4.36	3.37	5.15	7.13	11.64
ENSG00000006125	4.44	4.09	5.15	4.6	3.78	5.55	6.8	6.36	5.99	4.37	6.87	6.62
ENSG00000006128	0.14	0.2	0.15	0.18	0.18	0.15	0.16	0.12	0.16	0.18	0.52	1.85
ENSG00000006194	5.01	5.58	6.61	7.34	4.38	3.37	4.24	4.33	1.5	1.63	1.38	0.87
ENSG00000006210	1.87	4.73	1.61	3.47	2.58	2.33	0.84	0.57	0.4	0.34	0.18	0.12
ENSG00000006282	0.4	0.36	0.44	0.34	0.39	0.57	0.6	0.75	4.49	1.11	0.24	0.18
ENSG00000006283	10.57	12.83	12.83	7.63	7.05	10.54	6.24	11.14	6.8	6.52	3.48	0.19
ENSG00000006327	5.28	4.11	5.4	6.65	4.78	7.26	5.1	5.42	9.56	7.71	1.32	1.49
ENSG00000006377	0.43	3.55	0.32	0.57	0.36	0.84	0.43	0.4	0.34	0.28	0.13	0.26
ENSG00000006432	2.97	0.33	0.33	2.28	0.29	0.24	0.24	0.28	1.09	0.27	0.28	0.22
ENSG00000006451	4.35	4.65	4.77	4.77	4.38	4.8	4.06	2.32	2.43	5.59	9.01	10.88
ENSG00000006453	4.9	4.95	6.41	5.38	8.15	8.82	11.64	7.89	10.01	20.04	19.34	27.37
ENSG00000006459	5.95	6.55	5.82	7.68	12.59	18.92	18.92	17.74	16.85	18.24	28.02	30.57
ENSG00000006468	0.23	0.21	0.19	0.19	0.21	0.24	0.22	0.2	0.2	0.15	0.38	0.73
ENSG00000006530	1.45	0.38	2.02	2.37	2.32	2.29	0.66	0.3	0.28	0.24	0.89	0.51
ENSG00000006534	0.31	0.28	0.36	0.41	2.92	3.45	3.53	4.08	3.41	3.17	2.79	4.48
ENSG00000006555	0.34	0.33	0.29	0.31	0.49	0.35	0.37	0.51	0.33	0.32	0.15	0.15
ENSG00000006576	3.42	2.21	1.89	0.39	0.37	0.5	2.84	0.32	0.26	1.74	4.62	4.28
ENSG00000006606	0.11	0.11	0.12	0.12	0.13	0.1	0.12	0.15	0.14	0.17	0.11	0.11
ENSG00000006607	6.43	7.42	6.95	8.06	6.76	7.01	6.87	9.42	8.37	9.06	7.42	6.99
ENSG00000006611	0.36	0.32	0.32	0.34	0.46	0.31	0.5	0.78	0.51	0.4	0.17	0.16
ENSG00000006625	1.82	0.91	2.57	3.02	3.18	3.14	1.37	2.76	2.63	2.64	3.36	2.21
ENSG00000006634	2.49	4.24	5.11	6.15	5.13	5.36	5.36	3.14	3.69	2.71	1.73	1.72
ENSG00000006638	3.22	0.79	3.09	2.93	0.4	0.25	0.21	0.34	0.27	0.29	0.27	0.17
ENSG00000006652	3.52	14.64	12.9	10.96	7.5	6.32	6.28	5.77	5.22	6.39	7.61	8.75
ENSG00000006659	0.24	0.19	0.25	0.11	0.24	0.18	0.24	0.27	0.14	0.2	0.16	0.18
ENSG00000006695	5.35	7.17	5.57	4.97	6.43	5.63	8.94	7.14	5.92	4.96	5.4	4.87
ENSG00000006704	7.16	5.71	5.32	5.09	5.64	5.45	6	6.54	4.46	3.74	5.36	6.25
ENSG00000006712	1.99	2.29	1.7	2.53	3.97	4.47	3.39	4.21	2.7	3.62	3.05	1.64
ENSG00000006715	4.25	0.43	1.34	0.37	0.42	2.35	3.77	3.2	2.94	4.22	7.17	10.82
ENSG00000006740	1.96	0.24	1.39	2.19	3.25	4.52	2.74	3.79	2.96	2.97	0.22	0.29
ENSG00000006744	3.59	4.42	5.53	3.64	5.87	6.59	9.73	6.31	5.83	5.29	7.75	5.61
ENSG00000006747	0.21	0.21	0.19	0.18	0.2	0.21	0.21	0.16	0.15	0.13	0.19	0.22
ENSG00000006756	0.27	0.21	0.32	0.34	0.24	0.35	0.41	0.3	0.29	0.28	0.22	0.26
ENSG00000006757	0.23	0.27	0.23	0.21	0.25	0.23	0.21	0.28	0.23	0.21	0.24	0.4
ENSG00000006788	0.18	0.16	0.19	0.2	0.19	0.18	0.17	0.19	0.21	0.2	0.16	0.19
ENSG00000006831	7.74	8.16	10.2	7.98	8.31	8.54	9.73	12.29	7.21	5.88	7.48	6.14
ENSG00000006837	1.67	0.27	0.25	0.29	0.25	0.28	0.33	0.19	0.23	0.21	0.61	0.73
ENSG00000007001	0.2	0.19	0.19	0.19	0.21	0.2	0.19	0.21	0.18	0.17	0.23	0.32
ENSG00000007038	1.08	0.61	0.56	0.68	0.94	0.88	0.51	0.45	0.56	0.38	0.22	0.2
ENSG00000007047	9.64	8.11	11.82	14.11	13.51	13.06	12.73	15.38	13.35	12.96	11.67	12.9
ENSG00000007062	3.1	0.18	0.19	2.83	0.16	0.16	0.16	0.19	0.19	0.23	0.18	0.18
ENSG00000007080	2.31	2.69	2.23	3.94	3.09	1.27	3.04	3.78	3.47	1.05	1.57	1.16
ENSG00000007129	8.09	9.33	6.35	4.98	6.59	7.86	5.56	5.86	5.61	4.14	6.45	5.76
ENSG00000007168	18.12	15.5	16.94	18.88	18.21	19.47	16.31	23.39	15.62	20.33	25.39	27.17
ENSG00000007171	0.3	0.28	0.32	0.33	0.32	0.32	0.25	0.41	1.18	1.92	0.16	0.16
ENSG00000007174	0.2	0.19	0.21	0.21	0.21	0.22	0.19	0.22	0.21	0.21	0.2	0.25
ENSG00000007202	6.76	10.36	9.22	9.21	9.37	8.59	9.01	12.18	10.53	8.81	8.35	9.31
ENSG00000007216	0.26	0.21	0.25	0.28	0.25	0.14	0.12	0.14	0.15	0.21	0.15	0.15
ENSG00000007237	3.4	5.23	14.34	17.66	14.87	17.98	17.24	12.85	13.07	15.19	16.04	15.29
ENSG00000007255	0.38	0.49	1.89	2.41	0.7	2.03	1.09	0.33	1.79	2.55	3.95	5.53
ENSG00000007264	1.22	0.32	0.3	0.3	0.22	0.26	0.2	0.27	0.26	0.25	0.11	0.14
ENSG00000007306	1.77	0.58	1.36	0.44	0.47	0.34	0.34	0.48	2.3	3.59	0.36	0.27
ENSG00000007312	9.34	5.22	3.87	3.85	4.26	3.4	3.5	2.3	2.72	2.01	3.75	1.03
ENSG00000007314	0.12	0.18	0.22	0.26	0.21	0.21	0.24	0.29	0.35	0.36	0.13	0.14
ENSG00000007341	1.81	1.9	0.95	1.58	3.38	4.06	5.27	2.84	2.84	4.7	10.04	12.61
ENSG00000007350	2.54	3.95	3.16	0.98	4.26	1.02	1.11	1.63	3.99	1.83	0.32	0.16
ENSG00000007372	8.58	7.28	7.12	7.93	7.11	7.68	8.06	10.79	4.78	7.07	0.45	0.3
ENSG00000007376	8	6.59	12.45	12.24	11.62	11.03	8.14	7.24	14.33	8.41	4.79	2.82
ENSG00000007384	2.06	2.05	1.84	1.62	2.78	3.25	4.97	4.46	4.92	3.76	3.23	0.88
ENSG00000007392	11.05	12.33	15.9	19.49	16.86	13.78	20.61	10.54	12.02	8.69	12.36	8.53
ENSG00000007402	6.23	4.11	4.66	3.91	4.26	3.68	3.69	10.32	5.09	6.22	0.21	0.18
ENSG00000007516	4.42	5.6	4.72	5.9	5.86	4.98	5.15	4.04	5.36	4.32	1.34	0.94
ENSG00000007520	1.62	1.01	2.51	1.8	1.51	1.03	1.79	1.21	2.29	1.14	1.74	0.89
ENSG00000007541	3.99	4.85	4.73	4.07	5.04	7.19	6.68	3.72	4.9	3.49	3.51	1.64
ENSG00000007545	7.33	7.33	9.28	10.26	6.36	7.71	6.56	7.67	7.61	6.25	5	6.36
ENSG00000007866	6.38	5.71	9.82	8.11	11.38	10.15	8.63	11.64	15.06	12.06	7.63	5.72
ENSG00000007908	0.19	0.16	0.18	0.17	0.22	0.19	0.17	0.18	0.17	0.16	0.28	0.49
ENSG00000007923	4.97	6.27	8.22	8.45	9.17	7.85	7.1	6.37	7.45	6.31	5.87	5.48
ENSG00000007933	0.16	0.22	0.18	0.17	0.2	0.17	0.18	0.15	0.22	0.15	0.28	0.23
ENSG00000007944	13.61	10.44	11.04	7.43	10.6	10.37	12.57	11.8	14.62	20.05	27.82	28.3
ENSG00000007952	0.21	0.24	0.22	0.18	0.2	0.22	0.23	0.19	0.22	0.22	0.19	0.26
ENSG00000007968	4.33	6.49	6.09	7.59	6.04	8.38	6.6	9.45	3.8	1.81	0.24	0.13
ENSG00000008018	10.92	7.64	8.48	9.12	9.93	11.49	7.7	6.71	8.43	8	12.09	11.09
ENSG00000008056	1.76	0.7	0.51	0.49	0.63	0.58	2.77	2.8	3.7	6.63	7.55	6.2
ENSG00000008083	18.67	14.61	7.99	6.76	10.64	11.58	15.65	15.9	12.38	15.24	14.27	12.64
ENSG00000008086	3	3.38	2.16	3.66	0.61	7.95	0.65	0.46	2.03	1.75	0.57	0.38
ENSG00000008118	0.29	0.23	0.23	0.26	0.21	0.16	0.22	0.25	0.26	0.27	0.19	0.16
ENSG00000008128	0.21	0.23	2.37	1.95	3.37	2.62	2.75	0.22	0.31	0.31	0.23	0.17
ENSG00000008130	10.82	8.11	9.99	11.21	12.65	10.76	13.1	16.23	13.33	16.45	24.37	31.66
ENSG00000008196	0.37	0.62	3.49	0.33	0.51	0.52	0.37	0.51	0.35	0.28	0.26	0.21
ENSG00000008197	0.31	0.32	0.23	0.24	0.27	0.32	0.34	0.25	0.27	0.19	0.33	1.58
ENSG00000008226	2.65	4.1	3.37	3.55	3.08	3.76	3.39	5.2	4.14	4.75	4.06	5.79
ENSG00000008256	5.03	5.75	5.68	4.28	3.94	5.58	5.38	3.08	3.07	9.78	6.8	9.92
ENSG00000008277	0.29	0.29	0.23	0.25	0.26	0.26	0.26	2.76	0.2	0.19	0.37	0.33
ENSG00000008282	5.51	4.5	5.43	3.13	4.51	4.25	5.86	9.25	5.94	6.09	6.94	6.1
ENSG00000008283	1.26	0.64	0.54	0.51	0.49	0.43	0.39	0.37	0.37	0.38	0.3	0.4
ENSG00000008294	11.07	11.43	8.54	9.79	8.95	10.46	15.22	7.74	11.52	9.18	9.51	8.4
ENSG00000008300	4.6	5.13	5.57	3.45	5.55	4.86	2.69	2.45	4.57	3.3	0.29	0.28
ENSG00000008311	3.81	0.44	3.62	2.84	2.96	2.79	3.64	2.52	1.66	0.22	0.68	1.39
ENSG00000008323	15.58	11.87	18.76	19.18	17.91	17.45	16.37	12.25	15.38	18.61	13.87	13.28
ENSG00000008324	0.5	0.54	2.05	2.83	2.98	3.75	3.17	0.38	2.69	1.91	3.4	1.08
ENSG00000008382	2.97	2.41	3.7	6.25	3.41	3.22	5.77	3.84	4.78	4.8	7.13	3.84
ENSG00000008394	0.22	0.23	0.21	0.2	0.23	0.25	0.24	0.22	0.21	0.17	0.31	0.69
ENSG00000008405	3.56	4.43	3.92	4.51	3.59	4.77	2.97	0.22	2.6	3.84	0.78	0.82
ENSG00000008438	1.23	1.44	0.82	1.5	1.77	1.98	2.61	4.01	5.47	3.49	1.2	1.27
ENSG00000008441	12.89	12.8	13.67	12.38	9.35	8.34	7.48	7.83	9.09	6.91	3.75	2.33
ENSG00000008513	4.21	8.51	13.02	16.54	14.48	15.47	17.07	10.95	12.69	23.89	63.9	74.81
