H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000007944	0.04	0.05	0.05	0.06	0.05	0.05	0.05	0.05	0.05	0.08	0.08	0.06
ENSG00000007968	0.05	0.05	0.05	0.04	0.05	0.04	0.04	0.04	0.03	0.03	0.03	0.03
ENSG00000008018	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.05
ENSG00000008083	0.04	0.05	0.04	0.03	0.03	0.04	0.05	0.03	0.03	0.03	0.03	0.04
ENSG00000008128	0.01	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02
ENSG00000008130	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.02	0.03	0.03	0.04	0.04
ENSG00000008282	0.26	0.15	0.33	0.26	0.09	0.09	0.09	0.26	0.26	0.08	0.04	0.05
ENSG00000008283	0.03	0.02	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03
ENSG00000008294	0.06	0.07	0.07	0.06	0.06	0.07	0.07	0.08	0.07	0.07	0.06	0.05
ENSG00000008311	0.07	0.07	0.07	0.08	0.07	0.08	0.09	0.08	0.06	0.06	0.08	0.12
ENSG00000008324	0.03	0.03	0.03	0.02	0.03	0.03	0.04	0.03	0.02	0.04	0.03	0.03
ENSG00000008405	0.44	0.52	0.42	0.49	0.55	0.43	0.53	0.43	0.4	0.48	0.47	0.48
ENSG00000008441	0.05	0.03	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04
ENSG00000008513	0.08	0.06	0.08	0.06	0.06	0.07	0.07	0.06	0.07	0.08	0.12	0.23
ENSG00000008838	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.03	0.04	0.03	0.03
ENSG00000008853	0.07	0.05	0.06	0.06	0.05	0.06	0.06	0.08	0.08	0.06	0.05	0.05
ENSG00000008869	0.07	0.15	0.08	0.08	0.09	0.1	0.09	0.08	0.09	0.08	0.08	0.09
ENSG00000009413	0.76	0.77	0.71	0.65	0.78	0.72	0.79	0.6	0.41	0.45	0.48	0.62
ENSG00000009790	0.08	0.08	0.08	0.07	0.08	0.08	0.1	0.1	0.09	0.09	0.06	0.07
ENSG00000009844	0.06	0.05	0.05	0.06	0.05	0.05	0.05	0.05	0.05	0.06	0.06	0.05
ENSG00000009954	0.05	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.03
ENSG00000010017	0.04	0.05	0.03	0.04	0.04	0.05	0.04	0.04	0.06	0.05	0.06	0.07
ENSG00000010165	0.24	0.12	0.1	0.09	0.09	0.08	0.11	0.1	0.09	0.07	0.08	0.08
ENSG00000010219	0.08	0.07	0.07	0.06	0.08	0.07	0.08	0.07	0.07	0.07	0.11	0.13
ENSG00000010244	0.05	0.06	0.05	0.05	0.06	0.06	0.06	0.08	0.07	0.07	0.05	0.05
ENSG00000010256	0.03	0.04	0.04	0.04	0.03	0.03	0.05	0.04	0.04	0.04	0.03	0.03
ENSG00000010270	0.03	0.05	0.05	0.04	0.04	0.04	0.03	0.04	0.03	0.05	0.04	0.04
ENSG00000010278	0.06	0.05	0.05	0.05	0.05	0.05	0.04	0.05	0.03	0.04	0.08	0.08
ENSG00000010292	0.04	0.06	0.05	0.05	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.04
ENSG00000010295	0.03	0.03	0.03	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.03	0.03
ENSG00000010322	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.06	0.05	0.04	0.03
ENSG00000010327	0.03	0.02	0.02	0.02	0.02	0.03	0.03	0.04	0.05	0.03	0.03	0.04
ENSG00000010361	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03
ENSG00000010539	0.69	0.83	0.69	0.8	0.9	0.91	0.9	0.76	0.79	0.91	0.95	0.97
ENSG00000010610	0.05	0.04	0.05	0.03	0.05	0.05	0.04	0.06	0.06	0.05	0.05	0.04
ENSG00000010803	0.09	0.08	0.07	0.07	0.07	0.07	0.06	0.07	0.07	0.07	0.08	0.07
ENSG00000010810	0.26	0.35	0.29	0.29	0.27	0.32	0.38	0.22	0.24	0.17	0.27	0.31
ENSG00000010818	0.05	0.06	0.04	0.05	0.06	0.04	0.06	0.05	0.04	0.05	0.06	0.05
ENSG00000011028	0.03	0.02	0.02	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.03	0.03
ENSG00000011052	0.02	0.03	0.04	0.03	0.03	0.03	0.04	0.04	0.03	0.02	0.02	0.02
ENSG00000011105	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.05
ENSG00000011258	0.05	0.05	0.05	0.04	0.05	0.05	0.06	0.05	0.04	0.05	0.05	0.05
ENSG00000011260	0.34	0.3	0.22	0.3	0.24	0.29	0.33	0.24	0.16	0.16	0.05	0.31
ENSG00000011275	0.33	0.15	0.39	0.34	0.23	0.48	0.4	0.31	0.34	0.15	0.09	0.1
ENSG00000011295	0.33	0.44	0.3	0.41	0.41	0.36	0.44	0.33	0.25	0.06	0.06	0.05
ENSG00000011304	0.05	0.05	0.07	0.07	0.04	0.05	0.04	0.05	0.05	0.05	0.03	0.03
ENSG00000011376	0.04	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.05
ENSG00000011405	0.08	0.07	0.08	0.07	0.09	0.1	0.09	0.08	0.07	0.08	0.06	0.07
ENSG00000011426	0.07	0.06	0.05	0.05	0.05	0.06	0.06	0.06	0.06	0.06	0.05	0.05
ENSG00000011451	0.4	0.38	0.41	0.46	0.33	0.35	0.28	0.38	0.43	0.37	0.47	0.4
ENSG00000011478	0.03	0.04	0.03	0.03	0.04	0.03	0.04	0.04	0.03	0.03	0.03	0.03
ENSG00000011485	0.08	0.08	0.08	0.09	0.08	0.06	0.07	0.15	0.08	0.07	0.07	0.05
ENSG00000011523	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03
ENSG00000011566	0.08	0.08	0.08	0.07	0.08	0.07	0.07	0.07	0.07	0.08	0.08	0.13
ENSG00000011600	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.02	0.02	0.03
ENSG00000011638	0.04	0.06	0.06	0.06	0.05	0.05	0.04	0.06	0.06	0.06	0.08	0.05
ENSG00000012048	0.26	0.05	0.21	0.07	0.23	0.23	0.4	0.29	0.22	0.24	0.06	0.05
ENSG00000012061	0.05	0.03	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.04
ENSG00000012174	0.05	0.05	0.04	0.04	0.04	0.05	0.05	0.04	0.05	0.05	0.06	0.07
ENSG00000012211	0.25	0.15	0.2	0.17	0.16	0.2	0.17	0.2	0.17	0.26	0.24	0.31
ENSG00000012232	0.53	0.57	0.42	0.65	0.51	0.47	0.55	0.35	0.49	0.38	0.24	0.46
ENSG00000012660	0.03	0.05	0.04	0.05	0.04	0.03	0.04	0.04	0.05	0.05	0.05	0.04
ENSG00000012779	0.07	0.04	0.08	0.07	0.07	0.07	0.06	0.08	0.16	0.58	0.51	0.35
ENSG00000012822	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.04	0.05	0.04
ENSG00000012963	0.03	0.04	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.04
ENSG00000012983	0.41	0.4	0.36	0.36	0.46	0.46	0.44	0.36	0.41	0.38	0.46	0.43
ENSG00000013275	0.11	0.07	0.08	0.08	0.09	0.08	0.09	0.1	0.1	0.24	0.38	0.27
ENSG00000013288	0.49	0.48	0.42	0.49	0.45	0.44	0.5	0.57	0.55	0.49	0.54	0.47
ENSG00000013306	0.04	0.03	0.04	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.02	0.04
ENSG00000013364	0.04	0.05	0.05	0.05	0.05	0.06	0.04	0.05	0.05	0.07	0.05	0.03
ENSG00000013503	0.48	0.52	0.47	0.47	0.57	0.45	0.49	0.44	0.54	0.53	0.66	0.69
ENSG00000013523	0.07	0.04	0.05	0.06	0.06	0.05	0.04	0.05	0.05	0.06	0.05	0.04
ENSG00000013561	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.05	0.03	0.03	0.03
ENSG00000013563	0.37	0.16	0.26	0.25	0.14	0.19	0.19	0.27	0.43	0.38	0.37	0.38
ENSG00000013573	0.54	0.49	0.45	0.42	0.42	0.48	0.42	0.44	0.46	0.45	0.37	0.31
ENSG00000013583	0.04	0.05	0.05	0.04	0.05	0.05	0.06	0.05	0.05	0.05	0.05	0.05
ENSG00000013810	1.03	0.82	1.17	0.92	0.84	0.84	0.77	0.99	0.94	1.01	0.92	0.97
ENSG00000014123	0.03	0.03	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0.02	0.04	0.03
ENSG00000014138	0.04	0.03	0.05	0.04	0.03	0.05	0.04	0.05	0.04	0.04	0.03	0.05
ENSG00000014216	0.04	0.04	0.05	0.05	0.04	0.04	0.04	0.04	0.03	0.03	0.03	0.04
ENSG00000014257	0.1	0.24	0.09	0.09	0.27	0.14	0.12	0.1	0.18	0.16	0.1	0.08
ENSG00000014914	0.06	0.05	0.06	0.07	0.06	0.06	0.07	0.06	0.08	0.07	0.06	0.06
ENSG00000014919	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.03	0.03	0.03	0.03	0.04
ENSG00000015133	0.04	0.05	0.06	0.06	0.05	0.04	0.04	0.05	0.06	0.06	0.05	0.07
