gene_id	H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000164144.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000131242.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000051382.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000148840.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000163935.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000152683.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000118113.11 	0	0	0	0	0	1	1	1	1	1	1	1
ENSG00000144034.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000116273.5 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000165475.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000150093.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000071189.21 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000275464.3 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000113845.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000065243.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000092445.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000084444.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000187605.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000163349.21 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000170854.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000168925.10 	1	1	1	1	1	1	1	1	1	1	0	0
ENSG00000161021.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000014123.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000197780.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000179403.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000102312.20 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000133256.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000137563.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000145386.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000105821.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000114784.3 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000143702.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000166484.19 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000165632.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000150967.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000179304.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000034677.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000158710.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000108344.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000163512.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000120616.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000184277.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000085998.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000198853.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000107560.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000000419.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000175470.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000131788.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000118961.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000139531.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000197056.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000119242.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000008311.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000101189.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000134516.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000135596.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000135624.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000103005.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000138101.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000166435.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000167543.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000178691.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000130193.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000033100.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000169083.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000276070.4 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000047346.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000091483.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000174136.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000241878.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000186468.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000166135.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000151503.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000109919.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000131669.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000120539.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000125107.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000175376.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000140474.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000070444.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000106077.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000054116.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000149196.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000124562.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000166012.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000261236.5 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000104213.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000157350.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000204469.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000105321.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000141753.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000116670.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000145241.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000147533.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000149600.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000099875.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000241127.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000152558.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000156990.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000101040.19 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000053372.4 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000080503.20 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000105819.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000111729.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000105968.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000113749.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000139880.19 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000157349.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000120963.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000023909.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000172046.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000162704.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000140749.8 	0	0	1	1	1	1	1	1	1	1	1	1
ENSG00000105393.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000172893.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000111331.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000132824.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000082805.19 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000009790.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000131165.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000137764.19 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000113971.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000155111.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000175489.9 	1	0	0	1	1	1	1	1	1	1	1	1
ENSG00000254979.5 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000161944.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000108219.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000204394.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000198286.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000168802.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000100629.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000135776.4 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000125454.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000163683.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000172380.5 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000182162.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000139354.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000173230.15 	1	1	1	1	1	1	1	1	1	1	1	1
