ENSG00000137504.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000277443.1 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072
ENSG00000175895.3 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000269096.6 	H000;H006;H012;H024;H048;H072;H120;H168
ENSG00000198964.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000123407.3 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000076984.17 	H120
ENSG00000185684.12 	H072;H120;H168
ENSG00000268350.7 	H000;H003;H006;H009;H012;H024;H036;H048;H072;H120;H168
ENSG00000246705.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120
ENSG00000144724.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000104976.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000087116.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000187773.8 	H072;H120;H168
ENSG00000163714.17 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000125084.11 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000172831.11 	H000;H003;H006;H009;H012;H024;H036;H048
ENSG00000147604.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000120833.13 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000153094.21 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000133131.14 	H000;H012;H024;H036;H048;H120;H168
ENSG00000268089.2 	H000;H009;H012;H024;H036;H048;H072;H120;H168
ENSG00000115414.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048
ENSG00000127588.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000100142.14 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000160216.18 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000123388.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000102032.12 	H006;H009;H012;H024;H036;H048;H072;H120;H168
ENSG00000100288.19 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000177519.3 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000042286.14 	H000;H009;H012
ENSG00000164651.16 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000145287.10 	H000;H003;H006;H009;H012;H024;H048
ENSG00000187821.8 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000185864.16 	H168
ENSG00000118985.15 	H000;H003;H006;H009;H012
ENSG00000166780.10 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000165359.14 	H009;H024;H036;H048;H120;H168
ENSG00000005302.17 	H000;H003;H006;H009;H012;H024;H036;H048;H072;H120;H168
ENSG00000123364.4 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000261667.1 	H000;H003;H006;H009;H012;H018;H024;H036;H048;H072;H120;H168
ENSG00000116128.9 	H072;H120;H168
