H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168	tHMM_pf
Peak2032941	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak2032942	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak2032943	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak2032957	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak2032958	1	1	1	1	1	1	1	2	2	2	2	1	5
Peak2032959	1	1	1	1	1	2	2	2	4	4	4	4	1
Peak2033020	1	1	1	1	1	1	1	1	1	2	4	4	5
Peak203303	1	1	1	1	2	1	1	1	1	1	1	1	5
Peak203309	1	1	2	2	2	2	2	2	4	4	4	2	1
Peak2033115	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak2033155	2	2	2	2	2	2	2	2	2	2	2	3	7
Peak2033190	2	1	1	1	2	2	2	1	1	1	1	1	7
Peak2033191	2	2	2	2	2	2	2	1	1	1	1	2	7
Peak2033214	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak2033215	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak2033257	1	1	2	2	2	2	4	4	4	4	4	4	2
Peak2033258	1	1	2	2	2	2	4	4	4	4	4	4	2
Peak2033314	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak2033325	1	1	1	1	1	1	2	2	2	2	2	2	5
Peak2033426	4	4	4	2	2	2	2	2	2	2	4	4	4
Peak2033427	4	4	4	2	2	2	2	2	2	2	4	4	4
Peak2033578	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak2033579	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak2033695	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak2033822	2	2	2	2	2	2	2	2	2	4	4	2	7
Peak2033857	1	1	1	1	1	1	2	2	4	2	2	2	5
Peak203387	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak2033893	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak2033925	1	2	1	1	2	2	2	2	4	4	4	4	1
Peak2033926	1	2	1	2	2	2	2	2	4	4	5	5	7
Peak2033933	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak2033973	1	1	1	1	2	2	2	2	2	1	1	1	1
Peak2033974	1	1	1	2	2	2	2	2	2	1	1	2	7
Peak2034129	2	1	1	1	1	1	1	1	1	1	1	1	5
Peak2034165	1	1	1	1	1	1	1	1	1	1	1	2	5
Peak2034179	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak2034212	1	2	2	1	1	1	1	1	1	1	1	1	5
Peak2034213	1	2	2	2	2	1	1	1	1	1	1	1	7
Peak2034262	2	2	2	2	2	2	4	4	2	2	2	2	2
Peak2034263	2	2	2	2	2	2	4	4	2	2	2	2	2
Peak2034273	2	2	2	2	2	2	2	2	1	1	1	1	7
Peak2034295	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak2034296	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak2034328	2	4	4	4	4	4	4	4	4	4	2	2	3
Peak2034339	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak2034349	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak2034403	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak2034455	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak2034512	2	4	4	2	2	2	2	2	2	2	1	1	7
Peak2034515	2	2	2	2	2	2	2	2	1	1	1	1	7
Peak2034516	2	2	2	2	2	2	2	2	1	1	1	1	7
Peak203455	1	1	2	2	2	2	2	4	4	4	4	4	2
Peak203456	1	1	1	1	1	2	2	4	4	4	4	4	1
Peak203464	3	3	3	3	3	3	3	3	6	6	6	6	1
Peak203465	3	3	3	3	3	3	3	3	6	6	6	6	5
Peak2034677	1	2	1	1	1	2	2	2	2	2	2	2	1
Peak2034678	1	2	2	1	1	2	2	2	2	2	2	2	1
Peak2034691	2	2	2	2	2	2	2	2	1	1	1	2	7
Peak2034789	6	6	3	3	3	3	3	3	3	6	6	6	2
Peak2034798	1	1	1	1	1	2	2	2	2	2	2	2	1
Peak2034810	2	2	2	1	1	1	2	2	2	2	2	2	7
Peak2034821	1	2	2	2	2	2	2	2	2	2	2	2	7
Peak2034822	1	2	2	2	2	2	2	2	2	2	2	2	7
Peak203485	4	4	4	4	4	4	4	4	4	4	5	5	3
Peak203486	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak203487	5	5	5	5	5	4	4	4	4	5	5	5	6
Peak203488	4	4	5	5	5	4	4	4	4	5	5	5	3
Peak2034995	2	2	2	2	4	4	4	4	4	4	4	4	2
Peak2034996	2	2	2	2	4	4	4	4	4	4	4	4	2
Peak2034997	2	2	2	2	4	4	4	4	4	4	4	4	2
Peak2035048	2	2	2	2	2	2	2	4	4	4	4	4	2
Peak2035049	2	2	2	2	2	2	2	4	4	4	4	4	2
Peak2035068	2	4	2	2	2	4	2	2	2	2	2	2	4
Peak2035093	4	4	4	4	4	4	4	2	2	2	2	2	3
Peak2035094	4	4	4	4	4	4	4	4	2	2	2	1	3
Peak203514	2	2	2	2	2	2	2	2	2	2	4	4	7
Peak203515	2	2	2	2	2	2	2	2	2	2	4	4	7
Peak2035223	4	4	4	4	4	4	4	2	2	2	2	2	4
Peak2035250	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak2035256	4	2	2	2	2	2	2	2	2	2	1	1	7
Peak2035257	4	2	2	4	4	2	2	2	2	2	1	2	4
Peak2035293	2	2	2	2	2	2	2	2	2	4	4	4	2
Peak2035294	2	2	2	2	2	2	2	2	4	4	4	4	2
Peak203532	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak2035332	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak2035345	3	3	3	6	6	6	6	6	6	6	6	6	1
Peak2035346	3	3	3	3	3	6	6	3	3	3	3	3	1
Peak2035417	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak2035418	4	4	4	4	4	4	4	4	4	2	2	1	3
Peak2035451	5	5	5	5	5	5	6	6	6	6	6	6	6
Peak2035452	5	5	5	5	6	6	6	6	6	6	6	6	6
Peak2035453	5	5	6	6	6	6	6	6	6	6	6	6	6
Peak2035454	5	5	5	5	6	6	6	6	6	6	6	6	6
Peak203547	1	1	1	1	1	2	2	2	2	1	1	1	1
Peak2035471	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak2035472	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak2035473	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak2035474	4	5	5	5	5	5	5	5	5	4	4	4	6
Peak2035509	5	5	5	5	5	5	5	5	3	3	3	3	6
Peak2035556	4	4	4	4	4	4	4	2	2	2	2	2	4
Peak2035568	4	4	4	4	4	4	4	4	2	2	2	2	3
Peak2035569	4	4	4	4	2	2	2	2	2	2	2	2	4
Peak2035597	1	2	1	1	2	2	2	2	2	2	1	1	7
Peak2035641	2	2	4	4	4	4	5	5	5	5	5	5	6
Peak203569	1	1	1	1	1	1	1	1	1	1	1	2	5
Peak2035845	6	6	6	3	3	3	6	6	6	6	6	6	5
Peak2035846	3	3	3	3	3	3	3	6	6	6	6	6	7
Peak2035847	3	3	3	3	3	3	3	6	6	6	6	6	6
Peak203598	2	3	4	4	4	4	4	4	2	2	2	2	3
Peak203604	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak2036120	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak203619	1	2	2	2	4	4	4	4	2	1	1	1	7
Peak2036190	6	6	6	6	6	6	6	3	3	3	3	3	7
Peak2036214	1	1	1	1	1	1	2	2	2	4	4	4	1
Peak2036218	1	1	1	1	2	2	2	2	2	2	2	2	1
Peak2036368	4	4	4	4	4	4	4	4	4	4	4	2	3
Peak2036369	4	4	4	4	4	4	4	4	4	4	4	2	3
Peak2036473	3	3	3	3	3	3	3	3	3	3	5	5	4
Peak2036474	3	3	3	3	3	4	4	4	5	5	5	5	3
Peak2036475	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak2036594	1	2	4	4	4	4	4	4	4	4	2	2	3
Peak2036595	1	2	4	4	4	4	4	4	4	4	2	2	3
Peak2036605	2	2	2	2	2	4	4	4	4	2	2	2	2
Peak2036606	2	2	2	2	2	4	4	4	4	2	2	2	2
Peak2036635	2	4	4	4	4	4	5	5	5	5	4	4	6
Peak2036649	4	4	4	5	5	5	5	5	4	4	4	4	6
Peak2036650	4	4	4	5	5	5	5	5	4	4	4	4	6
Peak203669	1	1	1	1	1	1	2	2	2	2	2	2	5
Peak2036842	2	2	2	2	2	2	2	2	2	2	4	4	7
Peak2036987	5	5	5	5	5	3	3	3	3	3	3	3	6
Peak2037	6	6	5	5	5	5	5	5	5	5	5	5	6
Peak203710	4	2	2	2	2	2	2	2	2	2	2	2	4
Peak203720	1	1	1	1	1	1	1	1	1	2	4	4	5
Peak2037249	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak2037254	4	4	5	4	4	4	4	4	4	3	3	3	3
Peak2037255	4	4	4	4	4	4	4	4	2	3	3	3	3
Peak2037256	4	4	4	4	4	4	2	3	3	3	3	3	3
Peak2037337	3	3	3	3	3	3	3	3	3	6	6	6	2
Peak2037338	3	3	3	3	6	6	6	6	6	6	6	6	1
Peak2037339	3	3	3	3	3	3	3	3	5	5	5	5	6
Peak2037350	2	4	4	4	4	4	4	4	4	4	2	4	3
Peak2037364	2	2	2	2	2	2	2	2	2	2	1	1	7
Peak203738	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak2037392	2	2	2	2	2	4	4	4	5	5	5	4	2
Peak2037594	2	2	4	4	4	4	4	4	5	5	4	4	2
Peak2037595	2	2	4	4	4	4	4	4	4	5	4	4	3
Peak203765	4	4	4	4	4	4	2	2	2	2	2	2	4
Peak203766	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak203773	4	4	4	4	4	4	4	4	4	2	2	4	3
Peak203774	5	4	4	4	4	4	4	4	4	4	4	4	3
Peak203782	4	4	4	4	4	5	5	5	5	4	4	5	3
Peak203783	4	4	4	4	5	5	5	5	5	5	5	5	6
Peak203784	4	4	4	4	4	5	5	5	4	4	4	4	3
Peak203792	5	4	4	4	4	4	4	4	4	4	4	4	3
Peak203793	5	4	4	5	5	5	5	4	4	4	4	4	6
Peak203794	5	4	4	4	4	5	5	4	4	4	4	4	3
Peak2037947	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak2037948	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak2037949	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak2037950	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak2037981	1	1	1	1	1	1	2	2	2	2	2	1	1
Peak2038036	2	2	2	2	2	4	4	4	4	2	2	2	2
Peak203804	2	4	4	4	5	5	5	5	5	4	4	4	6
Peak203805	2	4	4	4	4	5	5	5	5	4	4	4	6
Peak2038123	1	1	1	1	2	2	2	2	2	4	4	4	1
Peak2038305	1	2	2	1	2	1	1	2	4	4	4	4	2
Peak2038531	5	5	5	5	5	5	5	5	5	5	5	4	6
Peak2038615	5	5	5	5	5	5	5	6	6	6	6	6	6
Peak2038761	5	5	5	5	5	5	5	4	4	4	5	5	6
Peak203878	6	3	3	3	3	3	3	3	3	3	3	3	5
Peak2038856	5	5	5	5	5	5	6	6	6	6	6	6	6
Peak203888	3	3	5	5	5	5	5	5	5	5	5	5	6
Peak2038944	2	4	4	4	4	4	4	4	4	4	4	2	3
Peak2038945	2	2	2	2	2	2	2	2	2	3	3	3	7
Peak2038974	4	5	5	5	5	5	5	5	4	4	5	5	6
Peak2038975	4	5	5	5	5	5	5	5	4	4	5	5	6
Peak2038999	1	1	1	1	1	2	2	2	2	2	2	2	1
Peak2039027	2	1	2	2	4	4	4	4	4	4	4	4	2
Peak203903	3	3	3	3	3	3	3	3	5	5	5	5	6
Peak2039235	4	2	2	2	2	2	2	2	2	2	2	2	4
Peak2039248	2	2	2	2	2	2	2	1	2	2	1	1	7
Peak2039249	1	1	2	2	2	2	2	1	2	1	1	1	7
Peak2039257	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak20393	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak20394	2	2	4	4	4	4	4	4	4	4	4	4	2
Peak2039405	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak2039406	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak2039407	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak203957	4	4	4	4	2	2	4	2	2	2	2	2	4
Peak203958	4	4	4	4	2	2	4	4	4	2	2	2	4
Peak203959	4	4	4	4	2	2	4	4	4	2	2	2	3
Peak2039612	2	2	2	2	2	2	2	2	2	4	4	4	2
Peak2039666	3	3	3	3	3	2	2	3	3	3	3	3	7
Peak2040083	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak2040121	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak2040180	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak2040181	4	4	4	4	4	4	4	4	4	4	4	2	3
Peak2040186	5	5	5	5	5	5	5	4	4	4	4	4	6
Peak2040187	5	5	5	5	5	5	5	4	4	4	4	4	6
Peak2040203	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak2040283	4	4	4	4	4	4	2	2	2	2	2	1	4
Peak2040408	1	1	1	1	1	1	1	2	2	4	4	5	1
Peak204042	6	6	6	6	6	6	6	6	6	3	3	6	5
Peak2040432	5	5	5	5	5	5	5	5	5	5	5	4	6
Peak2040444	2	2	2	2	2	2	2	2	2	2	1	1	7
Peak2040445	2	2	2	2	2	2	2	2	2	2	1	1	7
Peak2040462	1	2	2	2	2	2	2	2	2	2	2	2	7
Peak2040467	4	2	2	2	2	2	2	2	2	2	2	2	4
Peak2040468	4	4	4	2	2	2	2	2	2	2	2	2	4
Peak2040500	1	1	1	2	2	2	2	2	2	2	2	2	4
Peak2040524	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak2040539	2	2	2	2	2	2	2	2	2	4	4	4	2
Peak2040540	2	2	2	2	2	2	2	2	2	4	4	4	7
Peak2040576	1	2	2	4	4	4	4	4	4	2	2	2	3
Peak2040633	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak2040682	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak2040920	4	4	4	4	4	2	2	2	2	1	1	1	4
Peak2041076	1	1	1	1	1	1	1	1	1	2	2	4	5
Peak2041107	5	5	5	4	4	4	2	2	2	2	2	2	4
Peak2041110	5	5	5	5	5	4	4	4	2	2	2	2	3
Peak2041111	5	5	5	5	5	4	4	2	2	2	2	2	6
Peak2041249	1	1	1	1	2	2	2	2	2	2	2	2	4
Peak2041259	1	1	1	1	1	1	1	1	1	2	2	4	5
Peak2041260	1	1	1	1	1	1	1	1	1	2	2	4	5
Peak2041309	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak2041310	1	1	1	1	1	1	1	2	2	4	2	2	5
Peak2041476	2	2	2	2	2	2	1	1	1	1	1	1	7
Peak2041477	2	2	2	2	2	2	1	1	1	1	1	1	7
Peak2041527	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak2041660	1	1	1	1	1	2	1	1	2	2	4	4	1
Peak2041661	1	1	1	1	1	2	1	1	2	2	4	4	1
Peak2041662	1	1	1	1	1	2	2	2	2	2	4	2	1
Peak2041671	2	2	2	2	2	2	2	2	2	2	1	1	7
Peak2041681	2	2	2	2	4	4	4	4	4	2	2	2	2
Peak2041714	1	1	1	2	2	2	2	4	4	4	4	4	1
Peak2041715	1	1	1	2	2	2	2	4	4	4	4	4	2
Peak2041763	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak2041808	4	4	4	4	4	4	4	4	2	2	2	2	3
Peak204185	5	4	4	4	4	4	4	4	4	4	2	2	3
Peak2041913	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak2041914	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak2041957	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak2041958	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak2041962	4	4	4	4	4	4	4	4	4	4	4	5	3
Peak2041969	3	3	3	3	3	3	3	3	3	3	6	6	5
Peak2042078	2	2	2	2	2	2	2	2	2	2	2	4	7
Peak2042079	2	2	2	2	2	2	2	2	2	2	2	4	7
Peak2042095	2	4	4	4	4	4	4	4	4	2	2	2	3
Peak2042138	1	1	1	1	2	4	4	4	4	4	4	4	2
Peak2042139	1	1	1	1	2	4	4	4	4	4	4	4	2
Peak2042209	5	5	5	5	4	4	4	4	4	4	4	2	3
Peak2042210	5	5	5	4	4	4	4	4	4	2	2	2	3
Peak2042297	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak2042298	2	4	4	4	4	4	4	4	4	5	4	4	3
Peak2042299	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak2042331	5	3	5	5	5	5	5	4	4	4	4	4	6
Peak2042332	6	3	5	5	5	5	5	4	4	4	4	4	6
Peak2042333	5	3	5	5	5	5	5	4	4	4	4	4	6
Peak2042334	5	3	5	5	5	5	5	4	4	2	2	2	6
Peak2042356	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak2042454	4	4	4	4	4	4	5	5	5	5	5	5	3
Peak2042457	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak2042458	4	4	4	4	4	4	4	2	2	2	2	2	4
Peak2042463	4	4	4	4	4	4	4	2	2	2	2	1	3
Peak2042467	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak2042543	4	4	5	5	5	4	4	4	4	4	4	4	3
Peak2042615	4	4	2	2	2	2	2	2	2	1	1	1	7
Peak2042671	5	5	5	5	5	5	5	5	5	5	5	6	6
Peak2042672	5	5	5	5	5	5	5	5	5	5	5	6	6
Peak2042677	2	2	2	2	4	4	4	4	4	5	5	5	2
Peak2042678	2	2	2	2	4	4	4	4	4	4	4	4	2
Peak2042690	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak2042691	5	5	5	5	5	5	5	5	5	5	5	4	6
Peak2042692	5	5	5	5	5	5	5	5	5	5	5	4	6
Peak2042756	5	5	4	4	4	4	4	4	4	2	2	2	3
Peak2042838	2	2	4	4	4	4	4	4	4	4	4	4	2
Peak2042839	2	2	4	4	4	4	4	4	4	4	4	4	3
Peak2042840	2	2	4	4	4	4	4	4	4	4	4	4	3
Peak2042864	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak2042865	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak2042912	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak2043082	1	1	1	1	2	2	2	2	4	4	2	4	1
Peak204311	2	2	2	2	2	2	2	2	2	4	4	4	7
Peak2043156	1	1	1	1	1	1	1	1	1	2	4	2	5
Peak2043293	4	2	2	4	4	4	4	4	4	4	4	4	2
Peak2043305	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak2043306	2	4	2	2	2	2	2	2	2	2	1	1	7
Peak2043340	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak2043377	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak2043391	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak2043392	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak2043512	4	4	2	2	2	4	4	4	4	4	4	4	2
Peak2043513	4	4	2	2	2	4	4	4	4	4	4	4	2
Peak2043592	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak2043701	2	3	2	2	2	2	2	2	2	1	1	2	7
Peak2043702	2	3	3	3	2	2	2	2	2	1	1	1	7
Peak2043703	3	3	3	3	3	3	3	2	2	1	1	1	7
Peak2043729	2	2	2	2	2	2	1	1	1	1	1	2	7
Peak2043752	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak2043774	1	1	1	1	1	1	2	2	4	4	4	4	1
Peak2043776	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak2043780	1	1	1	1	1	2	2	2	2	2	2	2	1
Peak2043856	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak2043926	2	2	4	4	4	4	5	4	4	4	4	2	3
Peak2043927	2	2	4	4	4	5	5	5	4	4	4	4	2
Peak2043928	2	2	4	4	4	4	4	4	4	4	4	2	3
Peak204396	4	4	4	4	4	4	4	4	4	3	3	3	3
Peak204397	4	4	4	4	4	4	4	4	4	3	3	3	3
Peak2043980	1	1	1	1	1	1	2	4	4	5	5	4	1
Peak2044075	4	4	4	4	4	4	4	4	4	5	5	4	3
Peak2044076	2	4	4	4	4	4	4	4	4	5	5	4	3
Peak2044090	2	2	1	1	1	1	1	1	1	2	2	2	5
Peak2044144	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak2044173	1	1	1	1	1	1	1	2	2	4	4	2	1
Peak2044338	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak2044398	1	1	1	1	1	1	1	1	1	2	2	3	5
Peak2044411	1	1	1	1	1	1	1	1	1	2	4	4	5
Peak2044412	1	1	1	1	1	1	1	1	1	2	4	4	5
Peak2044413	1	1	1	1	1	1	1	1	2	4	4	4	1
Peak2044414	1	1	1	1	1	1	1	1	2	4	4	4	1
Peak2044435	1	1	1	1	1	1	1	1	1	1	1	2	5
Peak2044520	1	2	2	4	4	4	4	4	4	4	4	4	2
Peak2044521	1	2	2	4	4	4	4	4	4	4	4	4	2
Peak2044522	1	1	2	2	2	2	2	2	2	2	2	2	4
Peak2044558	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak2044566	1	1	1	1	2	2	2	1	1	1	1	1	1
Peak2044567	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak2044614	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak2044659	4	4	4	4	4	5	5	4	4	4	4	4	3
Peak2044660	4	4	4	4	5	5	5	5	4	4	4	4	3
Peak2044663	4	4	4	5	5	5	5	5	4	4	4	2	3
Peak2044664	4	4	4	4	5	5	5	5	4	4	4	2	3
Peak2044666	2	4	4	4	4	4	4	4	4	4	2	2	3
Peak2044678	1	1	1	1	1	1	1	1	1	2	4	4	5
Peak2044679	1	1	1	1	1	1	1	1	1	2	4	4	5
Peak2044777	4	5	5	5	5	5	5	4	4	4	4	4	6
Peak2044778	4	5	5	5	5	5	5	4	4	4	4	4	6
Peak2044779	4	5	5	5	5	5	5	4	4	4	4	4	6
Peak2044799	4	4	4	4	4	4	2	2	2	2	2	2	4
Peak2044817	5	5	5	5	5	5	5	5	5	4	4	4	6
Peak2044818	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak2044857	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak204486	2	2	2	2	2	2	2	2	3	3	3	3	7
Peak2044865	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak2044866	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak2044905	1	1	1	2	2	2	2	2	2	2	2	2	4
Peak2044906	1	1	1	2	2	2	2	2	2	2	2	2	4
Peak2045094	1	1	1	1	1	1	1	1	2	2	4	4	5
Peak2045157	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak2045209	1	1	1	1	2	2	2	2	2	4	4	4	1
Peak2045210	1	1	1	1	2	2	2	2	2	4	4	4	1
Peak2045534	5	5	5	3	3	3	3	3	3	3	3	3	6
Peak2045536	3	3	3	3	3	3	3	3	3	5	5	5	6
Peak2045588	4	4	2	2	2	2	2	2	2	4	4	4	7
Peak2045589	2	2	2	2	2	2	2	2	4	4	4	4	2
Peak2045623	4	4	2	2	2	2	2	2	2	1	1	1	7
Peak2045635	4	2	2	2	2	2	2	2	2	1	1	1	7
Peak2045749	2	2	2	2	2	1	2	2	2	2	1	1	7
Peak2045837	1	1	1	1	1	1	1	2	2	4	2	2	5
Peak2045905	6	6	6	3	3	3	6	6	6	6	6	6	5
Peak2045908	6	6	6	6	6	3	6	6	6	6	6	6	2
Peak2045925	2	2	2	2	2	2	4	2	2	2	4	4	2
Peak2045926	2	2	2	2	2	2	2	2	2	2	4	4	7
Peak2045964	2	2	2	2	2	2	2	2	2	4	2	2	7
Peak2045965	2	2	2	2	2	2	2	2	2	4	4	4	2
Peak2046048	1	1	1	1	1	2	2	2	2	2	2	2	1
Peak204605	4	4	4	4	4	4	4	2	2	3	3	3	3
Peak2046123	3	3	3	3	3	3	6	6	6	6	6	6	2
Peak2046124	3	3	3	3	3	3	3	3	3	3	6	6	5
Peak2046125	3	3	3	3	3	3	3	3	3	3	6	6	5
Peak2046358	2	2	2	2	2	4	4	4	4	2	2	2	2
Peak2046413	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak204643	2	2	2	2	2	2	3	3	3	3	3	3	2
Peak2046464	2	5	5	5	5	4	4	4	4	4	4	4	2
Peak2046501	4	5	5	5	5	5	5	5	5	5	4	2	6
Peak2046535	4	4	4	4	4	4	5	5	4	4	4	4	3
Peak2046536	4	4	4	4	4	4	5	5	5	4	4	4	3
Peak2046584	2	2	4	4	4	4	4	4	4	4	4	4	3
Peak2046633	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak2046646	5	5	5	5	5	5	5	5	5	4	4	4	6
Peak2046647	5	5	5	5	5	5	5	5	5	4	4	4	6
Peak204666	4	4	4	4	4	4	3	3	3	3	3	3	3
Peak2046778	1	1	1	1	1	2	2	2	2	2	2	2	1
Peak2046786	4	5	5	5	5	5	5	4	4	4	2	2	3
Peak2046803	2	2	4	4	4	4	4	4	4	5	5	5	3
Peak2046804	2	2	4	4	5	5	5	5	5	5	5	5	6
Peak2046805	2	2	4	4	5	5	5	5	5	5	6	6	6
Peak2046840	2	2	4	4	4	4	5	5	5	5	5	5	3
Peak2046845	1	1	2	2	2	4	4	4	4	5	4	4	2
Peak2046846	1	1	2	2	2	4	4	4	5	5	4	4	2
Peak204689	4	4	4	4	4	4	4	4	4	3	3	3	3
Peak204690	4	4	4	4	4	4	4	3	3	3	3	3	3
Peak2046912	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak2046913	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak2046914	2	2	2	4	4	4	4	4	4	4	4	2	2
Peak2046933	2	2	2	2	2	2	4	4	4	4	4	4	2
Peak2047174	6	3	6	6	6	6	6	6	6	6	6	6	5
Peak2047211	2	2	2	4	4	4	4	4	4	4	4	4	2
Peak2047212	4	4	4	4	4	4	4	5	5	5	4	4	3
Peak2047213	2	2	2	4	4	4	4	4	4	4	4	4	2
Peak2047246	3	3	3	3	3	5	5	5	5	5	5	5	6
Peak2047263	2	2	2	4	4	5	5	5	5	5	5	5	6
Peak2047264	2	2	2	4	4	5	5	5	5	5	5	5	6
Peak2047276	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak2047338	1	1	1	2	2	2	2	2	4	4	4	4	1
Peak2047344	2	2	2	4	4	4	4	4	4	4	4	2	3
Peak2047345	2	2	2	4	4	4	4	4	4	4	4	2	2
Peak2047352	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak2047353	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak2047368	2	2	2	2	2	2	2	4	4	4	4	4	2
Peak2047385	1	2	2	2	2	2	2	2	4	4	4	2	2
Peak2047386	1	1	2	2	2	2	2	2	4	4	4	2	2
Peak2047394	5	5	5	4	4	4	4	2	2	2	4	4	6
Peak2047395	4	4	4	4	4	4	4	2	2	2	4	4	3
Peak2047428	4	5	5	5	5	5	5	5	5	5	5	4	6
Peak2047429	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak2047430	4	5	5	5	5	5	5	5	5	5	4	4	6
Peak2047431	4	4	4	4	4	4	5	5	5	5	4	2	3
Peak2047566	1	1	2	2	2	2	1	1	1	1	2	2	5
Peak2047714	2	2	2	2	2	1	2	2	2	1	1	2	7
Peak2047730	4	4	4	4	5	5	5	5	5	5	4	4	6
Peak2047731	4	4	4	4	5	5	5	5	5	5	4	4	6
Peak2047732	5	4	4	4	4	4	5	5	5	4	4	4	6
Peak204800	6	6	6	6	6	6	6	3	3	3	3	3	5
