H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168	tHMM_pf
Peak1006890	5	5	5	5	5	5	5	5	5	5	5	3	6
Peak1006972	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak1006973	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak100700	2	2	2	2	2	2	2	2	1	1	1	1	7
Peak1007030	4	4	4	4	4	4	5	5	5	5	5	5	3
Peak1007042	3	3	3	3	3	3	3	3	3	3	6	6	2
Peak1007043	3	3	3	3	3	3	3	3	3	3	6	6	1
Peak100708	4	4	4	4	4	4	4	4	2	2	2	2	3
Peak100709	4	4	4	4	4	4	4	2	2	2	2	2	4
Peak1007159	3	3	3	3	3	3	6	6	6	6	6	6	5
Peak1007176	4	5	5	5	5	5	5	5	5	5	4	4	6
Peak100720	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak100729	2	4	4	4	4	4	2	2	2	2	1	1	4
Peak100730	4	4	4	4	4	4	4	2	2	2	1	1	4
Peak1007379	5	5	5	5	5	5	5	6	6	6	6	6	6
Peak1007522	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1007551	3	3	3	3	3	3	3	3	3	3	3	5	7
Peak1007562	3	3	3	3	3	3	3	4	4	5	5	5	2
Peak1007576	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak1007586	2	2	2	4	4	2	2	2	2	2	2	2	4
Peak1007612	6	6	6	3	3	3	3	3	3	3	6	6	6
Peak1007642	4	4	4	5	5	5	5	5	5	5	5	4	6
Peak1007759	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1007760	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1007771	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak100783	2	2	2	1	1	1	1	1	1	1	1	1	7
Peak1007937	6	6	6	6	6	6	6	6	3	3	3	3	3
Peak1008041	5	5	5	5	5	5	5	5	5	4	4	4	6
Peak1008042	5	5	5	5	5	5	5	5	4	4	4	4	6
Peak1008080	4	4	4	4	4	4	4	4	4	3	3	3	3
Peak1008096	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak1008104	3	3	3	3	3	3	3	3	3	5	5	5	6
Peak1008234	5	4	4	5	5	4	4	4	4	4	4	2	3
Peak100847	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1008539	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1008588	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1008589	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1008591	1	4	4	4	4	4	4	4	4	4	4	4	3
Peak100870	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak100871	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak100880	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak100881	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak100882	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak1008863	4	4	4	4	4	4	4	4	3	3	3	3	3
Peak1008864	5	5	4	4	4	4	4	4	4	3	3	3	3
Peak1008887	2	2	2	2	2	4	4	4	4	4	4	2	2
Peak1008990	3	3	3	3	3	3	3	3	3	3	4	4	6
Peak1009129	4	4	4	4	2	2	2	2	2	2	2	2	4
Peak1009130	4	4	4	4	2	2	2	2	2	2	2	2	4
Peak1009145	4	4	4	4	4	4	4	5	5	5	5	5	3
Peak1009169	5	5	5	5	5	5	5	5	5	5	6	6	6
Peak1009254	2	2	2	2	2	2	2	2	4	4	4	4	2
Peak1009333	4	4	4	4	4	4	5	5	5	5	5	5	3
Peak100942	1	1	1	1	1	1	1	1	2	2	4	4	5
Peak100943	2	1	1	2	2	2	2	2	2	2	2	2	4
Peak1009439	2	2	2	2	2	4	4	4	4	4	2	2	2
Peak1009509	2	2	2	2	2	2	2	2	4	5	5	5	7
Peak1009519	2	2	4	4	2	2	4	4	4	4	4	2	2
Peak1009557	6	6	3	3	3	3	3	3	5	5	5	5	6
Peak1009558	6	6	6	6	6	6	6	6	6	5	5	5	6
Peak1009559	6	6	6	6	6	6	6	6	6	5	5	5	6
Peak100969	5	5	5	5	5	5	4	4	2	2	2	2	6
Peak100970	5	3	5	5	5	5	4	4	4	2	2	2	6
Peak100974	4	4	4	4	4	4	2	2	2	2	2	2	4
Peak100975	4	2	2	2	2	2	2	2	2	2	2	2	4
Peak1009839	2	2	2	2	1	1	1	1	1	1	2	2	5
Peak1009886	3	3	6	6	6	6	6	6	6	6	6	6	1
Peak1009925	4	4	4	4	5	5	4	4	4	4	4	4	3
Peak1009997	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak1010001	4	4	4	4	4	2	2	2	2	1	1	1	4
Peak101004	2	2	2	2	2	2	2	2	2	4	2	2	7
