H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
Peak1002015	3	3	3	3	3	3	3	3	3	6	6	6
Peak1002016	3	3	3	3	3	3	3	3	6	6	6	6
Peak1002033	2	2	2	2	2	2	2	2	2	2	2	2
Peak1002078	3	3	3	3	3	3	3	3	3	3	3	3
Peak1002082	3	3	3	3	3	3	3	3	3	3	3	3
Peak1002093	5	5	5	5	5	5	5	5	5	6	6	6
Peak1002094	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002095	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002115	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002116	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002117	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002118	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002119	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002159	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002160	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002161	3	6	6	6	6	6	6	6	6	6	6	6
Peak1002172	2	4	4	5	5	5	5	5	5	5	4	4
Peak1002185	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002186	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002187	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002188	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002259	5	4	4	4	4	4	4	4	5	5	5	5
Peak1002260	4	4	4	4	4	4	4	4	4	4	5	5
Peak1002309	3	3	3	3	3	3	3	3	3	3	3	3
Peak1002310	3	3	3	3	3	3	3	3	3	3	3	3
Peak1002311	3	3	3	3	3	3	3	3	3	3	3	3
Peak1002321	4	4	4	4	4	4	4	4	4	4	5	5
Peak1002322	4	4	4	4	4	4	4	4	4	4	5	5
Peak1002460	4	5	5	5	5	5	5	5	5	5	4	4
Peak1002461	4	5	5	5	5	5	5	5	5	5	4	4
Peak1002468	5	5	5	5	5	5	5	5	5	5	5	5
Peak1002469	5	5	5	5	5	5	5	5	5	5	5	5
Peak100247	1	1	1	1	1	1	1	1	1	1	1	1
Peak1002483	5	5	5	5	5	5	5	5	5	5	5	5
Peak1002484	5	5	5	5	5	5	5	5	5	5	5	5
Peak1002494	4	4	4	4	4	4	4	5	5	5	5	5
Peak1002509	6	6	3	3	3	3	3	3	3	6	6	6
Peak1002510	6	6	6	6	6	6	6	6	6	6	6	6
Peak100254	1	1	1	1	1	1	1	2	2	2	4	4
Peak1002569	4	4	2	2	2	2	2	2	2	2	4	4
Peak1002570	4	4	4	4	4	4	4	4	4	4	4	4
Peak1002606	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002607	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002621	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002636	5	5	5	5	5	5	5	5	5	5	5	5
Peak1002715	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002716	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002746	2	4	4	4	4	4	4	4	4	4	4	4
Peak1002747	1	4	4	4	4	4	4	4	4	4	4	4
Peak1002761	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002762	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002763	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002764	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002765	5	5	5	5	5	5	5	5	5	5	5	5
Peak1002784	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002785	6	6	6	6	6	6	6	6	6	6	6	6
Peak100280	1	1	1	1	1	1	1	1	1	1	1	1
Peak100281	1	1	1	1	1	1	1	1	1	2	2	2
Peak1002818	4	4	4	4	4	4	4	4	4	4	4	4
Peak1002849	4	4	4	4	4	4	4	4	4	2	2	2
Peak1002862	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002863	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002872	4	4	4	4	4	4	4	4	4	4	2	2
Peak1002873	4	4	4	4	4	4	4	4	4	4	2	2
Peak1002901	2	4	5	5	5	5	5	5	5	4	4	4
Peak1002926	1	1	1	1	2	2	4	4	4	4	4	4
Peak1002931	2	2	4	4	4	5	5	5	5	4	4	4
Peak1002948	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002949	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002950	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002993	3	3	3	3	3	3	3	6	6	6	6	6
Peak1002994	3	3	3	3	3	6	6	6	6	6	6	6
Peak1002995	3	3	3	3	3	3	3	3	3	6	6	6
Peak1002996	3	3	3	3	3	3	3	3	3	3	6	6
Peak1003008	4	5	5	5	5	5	5	5	5	5	5	5
Peak1003009	4	4	4	5	5	5	5	5	5	5	5	5
Peak1003095	4	5	5	5	5	5	5	5	5	5	5	4
Peak100315	2	2	2	2	2	2	2	1	1	1	1	1
Peak100316	2	2	2	2	2	2	2	1	1	1	1	1
Peak100321	1	1	1	1	1	1	1	2	2	2	2	2
Peak100322	1	1	1	1	1	1	1	2	2	2	2	2
Peak1003249	6	6	6	6	6	6	6	6	6	6	6	6
Peak1003250	6	6	6	6	6	6	6	6	6	6	6	6
Peak1003251	6	6	6	6	6	6	6	6	6	6	6	6
Peak1003307	4	4	4	4	4	5	5	5	5	5	5	5
Peak1003336	4	4	4	4	4	4	4	4	2	2	2	2
Peak1003337	4	4	4	4	4	4	4	4	4	2	2	2
Peak1003352	2	2	4	4	4	4	5	5	5	5	5	4
Peak1003353	2	2	4	4	4	4	5	5	5	5	5	4
Peak1003365	3	3	3	3	3	3	3	3	3	5	5	5
Peak100343	1	1	1	1	1	1	1	1	1	1	1	2
Peak1003486	4	4	4	4	4	4	4	4	4	4	4	4
Peak100355	2	2	2	2	2	2	2	2	2	2	2	2
Peak1003564	6	6	6	6	6	6	6	6	6	6	6	6
Peak1003565	6	6	6	6	6	6	6	6	6	6	6	6
Peak1003566	6	6	6	6	6	6	6	6	6	6	6	6
Peak1003567	6	6	6	6	6	6	6	6	6	6	6	6
Peak100360	2	2	2	2	2	2	2	2	2	2	2	2
Peak1003630	6	6	6	6	6	6	6	6	6	6	6	6
Peak1003631	6	6	6	6	6	6	6	6	6	6	6	6
Peak1003632	6	6	6	6	6	6	6	6	6	6	6	6
